dataset,model_loss,mean_ari,mean_sil,mean_recon,mean_val,bio_score,is_vae,collapsed
aifi_immune_full,scvi:nb,0.3078882036933481,0.10912569767485057,399.2348276774089,,0.3078882036933481,False,False
paul15,ae:mse,0.3205415178266431,0.21201231868730647,0.5313517430726716,0.521652967235059,0.3205415178266431,False,False
paul15,ae:nb,0.2400362998297442,0.26407468981213034,0.6556883249030058,1335.8262398160468,0.2400362998297442,False,False
paul15,ae:zinb,0.23418612455370738,0.2776906622780693,0.6531103912363414,1331.6829094457878,0.23418612455370738,False,False
paul15,scvi:nb,0.3291423783762367,0.1986555299825138,1253.3951280381943,,0.3291423783762367,False,False
paul15,scvi:zinb,0.3274893955154543,0.1967883068654272,1253.3000183105469,,0.3274893955154543,False,False
paul15,vae:mse,0.013583977319658307,0.16307511842913092,0.6665013432987928,0.6518241905273342,0.013583977319658307,True,True
paul15,vae:nb,0.2965551000251449,0.23025930010610152,0.650347141228316,1334.0842336826222,0.2965551000251449,True,False
paul15,vae:zinb,0.3045984120225713,0.2354554107619656,0.6485299208225348,1331.4999873060785,0.3045984120225713,True,False
scvi_pbmc12k,ae:mse,0.660269559725573,0.41190504282712936,0.33490362812288277,0.33468247867223777,0.660269559725573,False,False
scvi_pbmc12k,ae:nb,0.6184362243658489,0.37073641767104465,0.33833739956261416,671.623751112445,0.6184362243658489,False,False
scvi_pbmc12k,scvi:nb,0.5948223724231743,0.28675157949328417,664.5167185465494,,0.5948223724231743,False,False
scvi_pbmc12k,vae:mse,0.022564629217746674,0.22340965022643403,0.4037329074070955,0.4047766344200779,0.022564629217746674,True,True
scvi_pbmc12k,vae:nb,0.5958136245391441,0.3721635416150093,0.33889151878048057,678.7424709096298,0.5958136245391441,True,False
ts1_all_cells,ae:nb,0.00699303300861245,0.6877969801425934,0.20978182357941716,391.61930193738715,0.00699303300861245,False,False
ts1_all_cells,scvi:nb,0.261604292874326,0.18380661308765409,276.4321568806966,,0.261604292874326,False,False
ts2_lung,scvi:nb,0.39491480836991005,0.2255465413133303,5842.965657552083,,0.39491480836991005,False,False
