dataset,model_loss,latent_dim,ari_mean,ari_std,silhouette_mean,silhouette_std,recon_mean,recon_std,n_seeds
aifi_immune_full,scvi:nb,4,0.3415165431753761,,0.2349282950162887,,411.1045227050781,,1
aifi_immune_full,scvi:nb,6,0.2827833219341319,,0.1755406260490417,,408.420654296875,,1
aifi_immune_full,scvi:nb,8,0.3106636229031857,0.00041809520394880256,0.1422904953360557,0.0048495533669211666,405.8837585449219,0.39105801662172357,2
aifi_immune_full,scvi:nb,10,0.3287619638927829,,0.1282230764627456,,402.9953002929688,,1
aifi_immune_full,scvi:nb,12,0.3163534608231159,,0.1089364886283874,,401.7992858886719,,1
aifi_immune_full,scvi:nb,16,0.3023051935951952,0.016960108401417415,0.08757403492927546,0.004206371385220625,397.2705993652344,0.5208352438573765,2
aifi_immune_full,scvi:nb,24,0.2981771962496147,0.004236231014395467,0.05769696272909635,0.0019133641894513438,392.2877655029297,0.04395680277334586,2
aifi_immune_full,scvi:nb,32,0.3014755644993896,0.028413437087086664,0.0433784499764442,4.684095376376296e-05,387.8069610595703,0.2638918709451382,2
paul15,ae:mse,2,0.30364529821252356,0.007606508885039959,0.3674151698748271,0.015562671876809648,0.5465464586885567,0.004427462920408243,3
paul15,ae:mse,4,0.33081209977392984,0.03221761639341278,0.24905430773893986,0.0034751380171206586,0.5358515059409416,0.004047642976442931,3
paul15,ae:mse,6,0.34101891757463193,0.023753306413051723,0.21152973175048825,0.014476888323492188,0.5316795589577438,0.004620761827568489,3
paul15,ae:mse,8,0.31664652562303375,0.024638937569813238,0.18532091379165647,0.005065735549472043,0.5291617482864232,0.004698227567317277,3
paul15,ae:mse,10,0.3107753978459798,0.03079935809871289,0.20220400889714554,0.002678566769087691,0.530013182952145,0.004442722099196321,3
paul15,ae:mse,12,0.33315682912423367,0.03872625849947251,0.19077274203300468,0.015115521626390667,0.5286068951253925,0.0036146019833672278,3
paul15,ae:mse,16,0.30251163737479864,0.022316513237297567,0.1906198561191558,0.01504263742105431,0.5292649459780646,0.005007320138170133,3
paul15,ae:mse,20,0.3245397078358439,0.0317855360464422,0.19074975947539008,0.015755249555585892,0.5292007385301648,0.005523156574503275,3
paul15,ae:mse,24,0.29772302297570835,0.012067511091523101,0.19703430434068037,0.01336451320266931,0.5297782086336279,0.004286769959949481,3
paul15,ae:mse,32,0.3219488076959368,0.015774234710407023,0.18640242516994476,0.012590141444403583,0.5287571393672073,0.005760379377849506,3
paul15,ae:mse,48,0.34246253201526106,0.037271528241083554,0.1870396534601847,0.013650111358661355,0.5287985285705408,0.0035717654574701704,3
paul15,ae:mse,64,0.3212574378678362,0.015245006182447878,0.18600495159626004,0.014938068844003994,0.5285620058412517,0.003985821814133712,3
paul15,ae:nb,2,0.20967054942158528,0.014789242880046577,0.3844729959964752,0.026796201444163857,0.6546938864011613,0.00825807808790061,3
paul15,ae:nb,4,0.23558467888195747,0.046122258444850205,0.26997160911560053,0.005120122641318123,0.653216237040812,0.008552689671136196,3
paul15,ae:nb,6,0.22485495880183323,0.034649891590133805,0.26158599058787024,0.03624696448869452,0.6568932969200451,0.010149407900915898,3
paul15,ae:nb,8,0.25149520424794275,0.06239431684410397,0.26354603966077167,0.023990335892330048,0.6543261588565886,0.009306905905711428,3
paul15,ae:nb,10,0.24602207307562204,0.01835548680395786,0.26923973858356476,0.022223303267137798,0.6550631210189745,0.01097991815763692,3
