dataset,model_type,loss_type,latent_dim,K,n_cells,n_cells_eval,eval_split,n_genes,seed,batch_key,label_key,label_source,external_metrics_enabled,external_metrics_note,data_mode,requested_data_mode,effective_data_mode,backed_fallback_reason,git_commit,fit_formula_name,fit_score_r2,fit_rmse,elbo,silhouette_sampled,silhouette_n_used,silhouette_n_total,centrality_mode,centrality_n_used,centrality_n_total,error,error_type,best_val_loss,total_epochs,peak_cpu_mem_mb,peak_gpu_mem_mb,ari,ami,silhouette,silhouette_kmeans,silhouette_true_labels,reconstruction_loss,centrality_variance,status,runtime_seconds,_source_csv,_source_mtime,label_source_category,label_trust,is_ground_truth_labels,is_untrusted_labels,is_curated_labels,is_inferred_labels,is_synthetic,n_batches,zero_fraction,batch_silhouette,batch_silhouette_mixing,batch_knn_entropy,batch_metrics_mode,batch_metrics_n_used,batch_metrics_n_total,onboard_source_label_key,onboard_source_batch_key,onboard_source_label_ontology_key,onboard_source_label_ontology_nonnull_fraction,onboard_contract_label_key,onboard_contract_batch_key,ts2_ground_truth_evidence
scvi_pbmc12k,vae,mse,16,9,11989,1199,test,2000,42,batch,labels,provided:labels,True,enabled_ground_truth,in_memory,in_memory,in_memory,,10d3fdb,,,,-0.403249871541899,False,1199.0,1199.0,full,1199.0,1199.0,,none,0.4049310627035343,40,2.110942840576172,81.9677734375,0.0223733229478483,0.0235599922738978,0.1524164974689483,0.1524164974689483,-0.175147607922554,0.4032340853337549,0.0004191145347982,success,10.611613988876345,/home/hpc/iwbn/iwbn129h/sc_autoencoder_project/results/global/tables/phase2_scvi_pbmc12k_results.csv,1774884167.293721,provided,ground_truth,True,False,True,False,,,,,,,,,,,,,,,,
scvi_pbmc12k,vae,mse,16,9,11989,1199,test,2000,43,batch,labels,provided:labels,True,enabled_ground_truth,in_memory,in_memory,in_memory,,10d3fdb,,,,-0.4041585904344904,False,1199.0,1199.0,full,1199.0,1199.0,,none,0.404571271171363,43,2.130727767944336,81.9677734375,0.0164683217599813,0.0342650170605313,0.2231897413730621,0.2231897413730621,-0.1766405403614044,0.4041487097591037,0.0004873483151271,success,11.44890022277832,/home/hpc/iwbn/iwbn129h/sc_autoencoder_project/results/global/tables/phase2_scvi_pbmc12k_results.csv,1774884167.293721,provided,ground_truth,True,False,True,False,,,,,,,,,,,,,,,,
scvi_pbmc12k,scvi,nb,16,9,11989,1199,test,2000,42,batch,labels,provided:labels,True,enabled_ground_truth,in_memory,in_memory,in_memory,,10d3fdb,,,,-687.113037109375,False,1199.0,1199.0,full,1199.0,1199.0,,none,,60,,,0.538671908542616,0.7299695004760941,0.1983433961868286,0.1983433961868286,0.2144214957952499,661.371337890625,0.0008151513986351,success,48.884072065353394,/home/hpc/iwbn/iwbn129h/sc_autoencoder_project/results/global/tables/phase2_scvi_pbmc12k_results.csv,1774884167.293721,provided,ground_truth,True,False,True,False,,,,,,,,,,,,,,,,
scvi_pbmc12k,vae,mse,24,9,11989,1199,test,2000,42,batch,labels,provided:labels,True,enabled_ground_truth,in_memory,in_memory,in_memory,,10d3fdb,,,,-0.4033352213168363,False,1199.0,1199.0,full,1199.0,1199.0,,none,0.4050552918326368,38,2.132177352905273,82.0068359375,0.0199958463123085,0.0151309882004464,0.1979263722896576,0.1979263722896576,-0.0986140519380569,0.4033092275274307,0.0004966651208108,success,10.329635620117188,/home/hpc/iwbn/iwbn129h/sc_autoencoder_project/results/global/tables/phase2_scvi_pbmc12k_results.csv,1774884167.293721,provided,ground_truth,True,False,True,False,,,,,,,,,,,,,,,,
scvi_pbmc12k,scvi,nb,8,9,11989,1199,test,2000,42,batch,labels,provided:labels,True,enabled_ground_truth,in_memory,in_memory,in_memory,,10d3fdb,,,,-681.3109741210938,False,1199.0,1199.0,full,1199.0,1199.0,,none,,60,,,0.6208642173378007,0.7417084041513935,0.2544409036636352,0.2544409036636352,0.2760049700736999,664.22265625,0.0008067889026335,success,48.46383714675903,/home/hpc/iwbn/iwbn129h/sc_autoencoder_project/results/global/tables/phase2_scvi_pbmc12k_results.csv,1774884167.293721,provided,ground_truth,True,False,True,False,,,,,,,,,,,,,,,,
scvi_pbmc12k,vae,nb,4,9,11989,1199,test,2000,42,batch,labels,provided:labels,True,enabled_ground_truth,in_memory,in_memory,in_memory,,10d3fdb,,,,-682.9970665455262,False,1199.0,1199.0,full,1199.0,1199.0,,none,683.7435677904601,60,2.0962963104248047,56.302734375,0.5809147462475849,0.694508318653813,0.3580021560192108,0.3580021560192108,0.2901194989681244,0.3382987851794309,0.0008147694253971,success,18.878325939178467,/home/hpc/iwbn/iwbn129h/sc_autoencoder_project/results/global/tables/phase2_scvi_pbmc12k_results.csv,1774884167.293721,provided,ground_truth,True,False,True,False,,,,,,,,,,,,,,,,
scvi_pbmc12k,scvi,nb,4,9,11989,1199,test,2000,43,batch,labels,provided:labels,True,enabled_ground_truth,in_memory,in_memory,in_memory,,10d3fdb,,,,-678.4096069335938,False,1199.0,1199.0,full,1199.0,1199.0,,none,,60,,,0.6466861765322389,0.764618687710469,0.3906591534614563,0.3906591534614563,0.3856222927570343,667.669921875,0.0007586014412258,success,49.00874638557434,/home/hpc/iwbn/iwbn129h/sc_autoencoder_project/results/global/tables/phase2_scvi_pbmc12k_results.csv,1774884167.293721,provided,ground_truth,True,False,True,False,,,,,,,,,,,,,,,,
scvi_pbmc12k,ae,nb,4,9,11989,1199,test,2000,42,batch,labels,provided:labels,True,enabled_ground_truth,in_memory,in_memory,in_memory,,10d3fdb,,,,,False,1199.0,1199.0,full,1199.0,1199.0,,none,677.3458746750222,60,2.08918571472168,56.283203125,0.5568852786625916,0.6402340356357272,0.4191405475139618,0.4191405475139618,0.302692174911499,0.3382276541447023,0.0008115532372602,success,16.790811777114868,/home/hpc/iwbn/iwbn129h/sc_autoencoder_project/results/global/tables/phase2_scvi_pbmc12k_results.csv,1774884167.293721,provided,ground_truth,True,False,True,False,,,,,,,,,,,,,,,,
scvi_pbmc12k,ae,nb,4,9,11989,1199,test,2000,43,batch,labels,provided:labels,True,enabled_ground_truth,in_memory,in_memory,in_memory,,10d3fdb,,,,,False,1199.0,1199.0,full,1199.0,1199.0,,none,666.059746698502,60,2.106307983398437,56.283203125,0.6417494524499154,0.6765689845867819,0.4141243398189544,0.4141243398189544,0.308794230222702,0.3383242663887762,0.0007938819890537,success,17.00299382209778,/home/hpc/iwbn/iwbn129h/sc_autoencoder_project/results/global/tables/phase2_scvi_pbmc12k_results.csv,1774884167.293721,provided,ground_truth,True,False,True,False,,,,,,,,,,,,,,,,
scvi_pbmc12k,ae,nb,8,9,11989,1199,test,2000,42,batch,labels,provided:labels,True,enabled_ground_truth,in_memory,in_memory,in_memory,,10d3fdb,,,,,False,1199.0,1199.0,full,1199.0,1199.0,,none,676.5270441737744,60,2.091780662536621,56.29296875,0.64754548408244,0.687076571622951,0.3634375929832458,0.3634375929832458,0.248289406299591,0.3379976498126188,0.0008141547714899,success,16.895201206207275,/home/hpc/iwbn/iwbn129h/sc_autoencoder_project/results/global/tables/phase2_scvi_pbmc12k_results.csv,1774884167.293721,provided,ground_truth,True,False,True,False,,,,,,,,,,,,,,,,
