dataset,model_type,loss_type,latent_dim,K,n_cells,n_cells_eval,eval_split,n_genes,seed,batch_key,label_key,label_source,external_metrics_enabled,external_metrics_note,data_mode,git_commit,fit_formula_name,fit_score_r2,fit_rmse,elbo,best_val_loss,total_epochs,peak_cpu_mem_mb,peak_gpu_mem_mb,ari,ami,silhouette,silhouette_kmeans,silhouette_true_labels,reconstruction_loss,centrality_variance,status,runtime_seconds
pbmc3k,ae,mse,2,9,2700,270,test,2000,42,,,unknown,False,disabled_no_ground_truth(label_source=unknown),in_memory,unknown,,,,,0.3913910256491767,1,2.061281204223633,,,,0.3597095012664795,0.3597095012664795,,0.40568170459182173,0.0023118935278266303,success,19.287245512008667
pbmc3k,ae,mse,2,9,2700,270,test,2000,43,,,unknown,False,disabled_no_ground_truth(label_source=unknown),in_memory,unknown,,,,,0.4050212323665619,1,2.0324134826660156,,,,0.4699503183364868,0.4699503183364868,,0.38535479704538983,0.0031481729100764832,success,0.6348075866699219
pbmc3k,ae,mse,2,9,2700,270,test,2000,44,,,unknown,False,disabled_no_ground_truth(label_source=unknown),in_memory,unknown,,,,,0.37800283321627864,1,1.0992250442504883,,,,0.433639258146286,0.433639258146286,,0.38381377458572385,0.002781386362186084,success,0.5784473419189453
