dataset,model_type,loss_type,latent_dim,K,n_cells,n_cells_eval,eval_split,n_genes,seed,batch_key,label_key,label_source,external_metrics_enabled,external_metrics_note,data_mode,requested_data_mode,effective_data_mode,backed_fallback_reason,git_commit,fit_formula_name,fit_score_r2,fit_rmse,elbo,silhouette_sampled,silhouette_n_used,silhouette_n_total,centrality_mode,centrality_n_used,centrality_n_total,error,error_type,best_val_loss,total_epochs,peak_cpu_mem_mb,peak_gpu_mem_mb,ari,ami,silhouette,silhouette_kmeans,silhouette_true_labels,reconstruction_loss,centrality_variance,status,runtime_seconds
pbmc3k,ae,mse,2,9,2700,270,test,2000,42,,,unknown,False,disabled_no_ground_truth(label_source=unknown),in_memory,in_memory,in_memory,,10d3fdb,,,,,False,270,270,full,270,270,,none,0.22082230349381765,20,2.1527109146118164,34.46630859375,,,0.43920478224754333,0.43920478224754333,,0.22703564542311208,0.0031522038167471284,success,35.467066526412964
pbmc3k,ae,mse,8,9,2700,270,test,2000,42,,,unknown,False,disabled_no_ground_truth(label_source=unknown),in_memory,in_memory,in_memory,,10d3fdb,,,,,False,270,270,full,270,270,,none,0.21812842973956356,20,2.0964279174804688,34.48095703125,,,0.4007841646671295,0.4007841646671295,,0.22412794254444263,0.0029646667730381343,success,1.7484118938446045
pbmc3k,ae,mse,16,9,2700,270,test,2000,42,,,unknown,False,disabled_no_ground_truth(label_source=unknown),in_memory,in_memory,in_memory,,10d3fdb,,,,,False,270,270,full,270,270,,none,0.21741979817549387,20,2.07259464263916,34.50048828125,,,0.4182046949863434,0.4182046949863434,,0.2234502793462188,0.0030689728698437835,success,1.806788444519043
pbmc3k,vae,mse,2,9,2700,270,test,2000,42,,,unknown,False,disabled_no_ground_truth(label_source=unknown),in_memory,in_memory,in_memory,,10d3fdb,,,,-0.2678732284793147,False,270,270,full,270,270,,none,0.2571849873772374,20,2.0924549102783203,34.4765625,,,0.3574884533882141,0.3574884533882141,,0.26780200556472494,0.0019686997205474693,success,2.162844657897949
pbmc3k,vae,mse,8,9,2700,270,test,2000,42,,,unknown,False,disabled_no_ground_truth(label_source=unknown),in_memory,in_memory,in_memory,,10d3fdb,,,,-0.27349703002859044,False,270,270,full,270,270,,none,0.2621392927787922,20,2.1038742065429688,34.51904296875,,,0.1724288910627365,0.1724288910627365,,0.27321190745742235,0.0008353742311925538,success,2.0335021018981934
pbmc3k,vae,mse,16,9,2700,270,test,2000,42,,,unknown,False,disabled_no_ground_truth(label_source=unknown),in_memory,in_memory,in_memory,,10d3fdb,,,,-0.2892123858133952,False,270,270,full,270,270,,none,0.27711197645575913,20,2.0977115631103516,34.57568359375,,,0.12239902466535568,0.12239902466535568,,0.28835312724113465,0.0008630847848652442,success,1.9434118270874023
pbmc3k,scvi,nb,2,9,2700,270,test,2000,42,,,unknown,False,disabled_no_ground_truth(label_source=unknown),in_memory,in_memory,in_memory,,10d3fdb,,,,-693.7951049804688,False,270,270,full,270,270,,none,,20,,,,,0.494871586561203,0.494871586561203,,683.4340209960938,0.0034066976848004136,success,19.958791255950928
pbmc3k,scvi,nb,8,9,2700,270,test,2000,42,,,unknown,False,disabled_no_ground_truth(label_source=unknown),in_memory,in_memory,in_memory,,10d3fdb,,,,-701.6409301757812,False,270,270,full,270,270,,none,,20,,,,,0.4146365821361542,0.4146365821361542,,686.0880737304688,0.003231831432546878,success,4.377506732940674
pbmc3k,scvi,nb,16,9,2700,270,test,2000,42,,,unknown,False,disabled_no_ground_truth(label_source=unknown),in_memory,in_memory,in_memory,,10d3fdb,,,,-702.1224365234375,False,270,270,full,270,270,,none,,20,,,,,0.40232232213020325,0.40232232213020325,,680.461181640625,0.003048986993790402,success,4.535817861557007
