dataset,model_type,loss_type,latent_dim,K,n_cells,n_cells_eval,eval_split,n_genes,seed,batch_key,label_key,label_source,external_metrics_enabled,external_metrics_note,data_mode,requested_data_mode,effective_data_mode,backed_fallback_reason,git_commit,fit_formula_name,fit_score_r2,fit_rmse,elbo,silhouette_sampled,silhouette_n_used,silhouette_n_total,centrality_mode,centrality_n_used,centrality_n_total,error,error_type,best_val_loss,total_epochs,peak_cpu_mem_mb,peak_gpu_mem_mb,ari,ami,silhouette,silhouette_kmeans,silhouette_true_labels,reconstruction_loss,centrality_variance,status,runtime_seconds
scvi_pbmc12k,vae,nb,4,9,11989,1199,test,2000,42,batch,labels,provided:labels,True,enabled_ground_truth,in_memory,in_memory,in_memory,,10d3fdb,,,,-682.9970665455262,False,1199,1199,full,1199,1199,,none,683.7435677904601,60,2.0962963104248047,56.302734375,0.5809147462475849,0.694508318653813,0.3580021560192108,0.3580021560192108,0.2901194989681244,0.3382987851794309,0.0008147694253971835,success,18.878325939178467
scvi_pbmc12k,vae,nb,4,9,11989,1199,test,2000,43,batch,labels,provided:labels,True,enabled_ground_truth,in_memory,in_memory,in_memory,,10d3fdb,,,,-683.5625355317256,False,1199,1199,full,1199,1199,,none,672.8443671219343,60,2.100367546081543,56.302734375,0.5251428826790895,0.710163439083738,0.34219738841056824,0.34219738841056824,0.2968675196170807,0.33858479125684654,0.0008146162977669611,success,19.044886827468872
scvi_pbmc12k,vae,nb,8,9,11989,1199,test,2000,42,batch,labels,provided:labels,True,enabled_ground_truth,in_memory,in_memory,in_memory,,10d3fdb,,,,-682.4744270840121,False,1199,1199,full,1199,1199,,none,683.3679784626837,60,2.1545448303222656,56.3310546875,0.5241484316517545,0.7171364557974523,0.34701210260391235,0.34701210260391235,0.3167189359664917,0.3380092703818877,0.000699547404458768,success,19.231791496276855
scvi_pbmc12k,vae,nb,8,9,11989,1199,test,2000,43,batch,labels,provided:labels,True,enabled_ground_truth,in_memory,in_memory,in_memory,,10d3fdb,,,,-683.7342633143179,False,1199,1199,full,1199,1199,,none,673.0185284713987,60,2.114983558654785,56.3310546875,0.5325433135397654,0.7063997160135902,0.3100758194923401,0.3100758194923401,0.25760430097579956,0.3386008789431959,0.0008132078293048825,success,19.1034095287323
scvi_pbmc12k,vae,nb,16,9,11989,1199,test,2000,42,batch,labels,provided:labels,True,enabled_ground_truth,in_memory,in_memory,in_memory,,10d3fdb,,,,-682.7510448770786,False,1199,1199,full,1199,1199,,none,683.6245104461237,60,2.112150192260742,56.3876953125,0.6749427043730956,0.7788532332739816,0.3781284689903259,0.3781284689903259,0.3274557590484619,0.33824673091202007,0.0007228918558194945,success,19.955888509750366
scvi_pbmc12k,vae,nb,16,9,11989,1199,test,2000,43,batch,labels,provided:labels,True,enabled_ground_truth,in_memory,in_memory,in_memory,,10d3fdb,,,,-683.6680133428248,False,1199,1199,full,1199,1199,,none,672.8529922701698,60,2.140866279602051,56.3876953125,0.5221233390976009,0.7052996959234246,0.3448534309864044,0.3448534309864044,0.2945079803466797,0.3387647261462478,0.0007497369676679448,success,19.98024034500122
scvi_pbmc12k,vae,nb,24,9,11989,1199,test,2000,42,batch,labels,provided:labels,True,enabled_ground_truth,in_memory,in_memory,in_memory,,10d3fdb,,,,-682.4940498103889,False,1199,1199,full,1199,1199,,none,683.320923258803,60,2.11916446685791,56.4443359375,0.5191961434814966,0.7184932293460139,0.3048546612262726,0.3048546612262726,0.26988062262535095,0.33804561880054423,0.000803445671345237,success,19.8401620388031
scvi_pbmc12k,vae,nb,24,9,11989,1199,test,2000,43,batch,labels,provided:labels,True,enabled_ground_truth,in_memory,in_memory,in_memory,,10d3fdb,,,,-683.3224741320893,False,1199,1199,full,1199,1199,,none,672.6804076537577,60,2.1139612197875977,56.4443359375,0.6768763370782123,0.7525544756933656,0.3688182532787323,0.3688182532787323,0.30324187874794006,0.338560487972487,0.000817706465686797,success,19.59535574913025
scvi_pbmc12k,vae,nb,32,9,11989,1199,test,2000,42,batch,labels,provided:labels,True,enabled_ground_truth,in_memory,in_memory,in_memory,,10d3fdb,,,,-682.6108403018955,False,1199,1199,full,1199,1199,,none,683.5006273029445,60,2.1252565383911133,56.5009765625,0.7029252472597066,0.7864498051564349,0.3738648295402527,0.3738648295402527,0.3236926794052124,0.33828523635764834,0.0007776295006441111,success,19.716967582702637
scvi_pbmc12k,vae,nb,32,9,11989,1199,test,2000,43,batch,labels,provided:labels,True,enabled_ground_truth,in_memory,in_memory,in_memory,,10d3fdb,,,,-684.4832843083755,False,1199,1199,full,1199,1199,,none,673.4628153873344,60,2.1194543838500977,56.5009765625,0.6600135959435498,0.7350411117151185,0.3865259885787964,0.3865259885787964,0.33381226658821106,0.3391590645603581,0.0007993488320808928,success,19.898085594177246
