dataset,model_type,loss_type,latent_dim,K,n_cells,n_cells_eval,eval_split,n_genes,seed,batch_key,label_key,label_source,external_metrics_enabled,external_metrics_note,data_mode,git_commit,fit_formula_name,fit_score_r2,fit_rmse,elbo,error,error_type,best_val_loss,total_epochs,peak_cpu_mem_mb,peak_gpu_mem_mb,ari,ami,silhouette,silhouette_kmeans,silhouette_true_labels,reconstruction_loss,centrality_variance,status,runtime_seconds
pbmc3k,ae,mse,2,9,2700,270,test,2000,42,,,unknown,False,disabled_no_ground_truth(label_source=unknown),in_memory,unknown,,,,,,none,0.2157681691425818,100,2.1587677001953125,34.46630859375,,,0.44021302461624146,0.44021302461624146,,0.22134273813830482,0.0034647488626721804,success,39.420509338378906
pbmc3k,ae,mse,2,9,2700,270,test,2000,43,,,unknown,False,disabled_no_ground_truth(label_source=unknown),in_memory,unknown,,,,,,none,0.22166929377449884,100,2.180069923400879,34.46630859375,,,0.48501938581466675,0.48501938581466675,,0.2167348505170257,0.0032644402464973516,success,7.044776916503906
pbmc3k,ae,mse,2,9,2700,270,test,2000,44,,,unknown,False,disabled_no_ground_truth(label_source=unknown),in_memory,unknown,,,,,,none,0.22036974750183247,100,2.194157600402832,34.46630859375,,,0.442367285490036,0.442367285490036,,0.22031812767187756,,success,7.124027967453003
pbmc3k,ae,mse,4,9,2700,270,test,2000,42,,,unknown,False,disabled_no_ground_truth(label_source=unknown),in_memory,unknown,,,,,,none,0.21420346432261997,100,2.218380928039551,34.47119140625,,,0.4855056703090668,0.4855056703090668,,0.21828479689580424,0.0033089647866500938,success,7.212265968322754
pbmc3k,ae,mse,4,9,2700,270,test,2000,43,,,unknown,False,disabled_no_ground_truth(label_source=unknown),in_memory,unknown,,,,,,none,0.21850479852270197,100,2.1020736694335938,34.47119140625,,,0.3956148624420166,0.3956148624420166,,0.2143096422707593,0.0032210026976837126,success,7.4217939376831055
pbmc3k,ae,mse,4,9,2700,270,test,2000,44,,,unknown,False,disabled_no_ground_truth(label_source=unknown),in_memory,unknown,,,,,,none,0.2180009169711007,100,2.2103586196899414,34.47119140625,,,0.3605051040649414,0.3605051040649414,,0.21823482082949744,0.003228305806825872,success,6.977987289428711
pbmc3k,ae,mse,6,9,2700,270,test,2000,42,,,unknown,False,disabled_no_ground_truth(label_source=unknown),in_memory,unknown,,,,,,none,0.21308215183240395,100,2.209254264831543,34.47607421875,,,0.3855901062488556,0.3855901062488556,,0.21708812415599824,0.003020700045771754,success,7.01421332359314
pbmc3k,ae,mse,6,9,2700,270,test,2000,43,,,unknown,False,disabled_no_ground_truth(label_source=unknown),in_memory,unknown,,,,,,none,0.21932396679012864,87,2.186610221862793,34.47607421875,,,0.39039692282676697,0.39039692282676697,,0.21468658601796187,0.003139070263612247,success,6.177594900131226
pbmc3k,ae,mse,6,9,2700,270,test,2000,44,,,unknown,False,disabled_no_ground_truth(label_source=unknown),in_memory,unknown,,,,,,none,0.21757566663953992,100,2.210696220397949,34.47607421875,,,0.34028977155685425,0.34028977155685425,,0.21745276782247755,0.0032461032114045173,success,7.200527667999268
pbmc3k,ae,mse,8,9,2700,270,test,2000,42,,,unknown,False,disabled_no_ground_truth(label_source=unknown),in_memory,unknown,,,,,,none,0.21323532395892672,100,2.212540626525879,34.48095703125,,,0.440327525138855,0.440327525138855,,0.21710113011024618,0.003026543315649164,success,7.432281255722046
pbmc3k,ae,mse,8,9,2700,270,test,2000,43,,,unknown,False,disabled_no_ground_truth(label_source=unknown),in_memory,unknown,,,,,,none,0.2186636988763456,80,2.1743927001953125,34.48095703125,,,0.40039852261543274,0.40039852261543274,,0.2144955916537179,0.003236242466988793,success,5.744757652282715
pbmc3k,ae,mse,8,9,2700,270,test,2000,44,,,unknown,False,disabled_no_ground_truth(label_source=unknown),in_memory,unknown,,,,,,none,0.21800416906674702,89,2.175189971923828,34.48095703125,,,0.3796404302120209,0.3796404302120209,,0.2181606273960184,0.0032084649847586313,success,6.193054676055908
pbmc3k,ae,mse,10,9,2700,270,test,2000,42,,,unknown,False,disabled_no_ground_truth(label_source=unknown),in_memory,unknown,,,,,,none,0.2118496569218459,100,2.223923683166504,34.48583984375,,,0.31306275725364685,0.31306275725364685,,0.21629365748829313,0.003157438779302734,success,7.194447040557861
pbmc3k,ae,mse,10,9,2700,270,test,2000,43,,,unknown,False,disabled_no_ground_truth(label_source=unknown),in_memory,unknown,,,,,,none,0.2198960139795586,100,2.2030115127563477,34.48583984375,,,0.39240169525146484,0.39240169525146484,,0.2152708113193512,0.0031502052439808144,success,7.141665935516357
pbmc3k,ae,mse,10,9,2700,270,test,2000,44,,,unknown,False,disabled_no_ground_truth(label_source=unknown),in_memory,unknown,,,,,,none,0.21820668114556208,100,2.082394599914551,34.48583984375,,,0.3395421802997589,0.3395421802997589,,0.21813009061195232,0.003284933009096985,success,7.294945001602173
pbmc3k,ae,mse,12,9,2700,270,test,2000,42,,,unknown,False,disabled_no_ground_truth(label_source=unknown),in_memory,unknown,,,,,,none,0.21275765233569674,100,2.2239761352539062,34.49072265625,,,0.3340628743171692,0.3340628743171692,,0.21649878543836099,0.003111834070058806,success,7.143015623092651
pbmc3k,ae,mse,12,9,2700,270,test,2000,43,,,unknown,False,disabled_no_ground_truth(label_source=unknown),in_memory,unknown,,,,,,none,0.2181466644560849,90,2.1889162063598633,34.49072265625,,,0.3483227789402008,0.3483227789402008,,0.21360512541400062,0.003062797921588565,success,6.180751800537109
pbmc3k,ae,mse,12,9,2700,270,test,2000,44,,,unknown,False,disabled_no_ground_truth(label_source=unknown),in_memory,unknown,,,,,,none,0.21731364406921244,100,2.2023849487304688,34.49072265625,,,0.3321734070777893,0.3321734070777893,,0.21743534715087326,0.003024821740306589,success,7.117228269577026
pbmc3k,ae,mse,16,9,2700,270,test,2000,42,,,unknown,False,disabled_no_ground_truth(label_source=unknown),in_memory,unknown,,,,,,none,0.21356125992757302,88,2.160432815551758,34.50048828125,,,0.45418399572372437,0.45418399572372437,,0.21766216898405993,0.0032660598081571705,success,6.1679770946502686
pbmc3k,ae,mse,16,9,2700,270,test,2000,43,,,unknown,False,disabled_no_ground_truth(label_source=unknown),in_memory,unknown,,,,,,none,0.2181255105468962,100,2.192445755004883,34.50048828125,,,0.35927197337150574,0.35927197337150574,,0.21391604741414388,0.002991875720554198,success,7.461782217025757
pbmc3k,ae,mse,16,9,2700,270,test,2000,44,,,unknown,False,disabled_no_ground_truth(label_source=unknown),in_memory,unknown,,,,,,none,0.21687147087521022,100,2.1559505462646484,34.50048828125,,,0.3008734881877899,0.3008734881877899,,0.21683141743695294,0.0029789868544277654,success,7.533087968826294
pbmc3k,ae,mse,20,9,2700,270,test,2000,42,,,unknown,False,disabled_no_ground_truth(label_source=unknown),in_memory,unknown,,,,,,none,0.21350250685656513,100,2.197397232055664,34.51025390625,,,0.43473541736602783,0.43473541736602783,,0.21727763877974615,0.002894030641796061,success,7.213176488876343
pbmc3k,ae,mse,20,9,2700,270,test,2000,43,,,unknown,False,disabled_no_ground_truth(label_source=unknown),in_memory,unknown,,,,,,none,0.21880891488658058,96,2.185943603515625,34.51025390625,,,0.39548441767692566,0.39548441767692566,,0.21435405490575013,0.00315246027723949,success,7.023375988006592
pbmc3k,ae,mse,20,9,2700,270,test,2000,44,,,unknown,False,disabled_no_ground_truth(label_source=unknown),in_memory,unknown,,,,,,none,0.21737385579833277,87,2.1611433029174805,34.51025390625,,,0.34889283776283264,0.34889283776283264,,0.21736754399758798,0.0029236456818152756,success,6.026496171951294
pbmc3k,ae,mse,24,9,2700,270,test,2000,42,,,unknown,False,disabled_no_ground_truth(label_source=unknown),in_memory,unknown,,,,,,none,0.21291065712769827,100,2.180270195007324,34.52001953125,,,0.3392198979854584,0.3392198979854584,,0.2167615834209654,0.0030816229276416705,success,7.095059156417847
pbmc3k,ae,mse,24,9,2700,270,test,2000,43,,,unknown,False,disabled_no_ground_truth(label_source=unknown),in_memory,unknown,,,,,,none,0.2182804556908431,94,2.182476043701172,34.52001953125,,,0.36580657958984375,0.36580657958984375,,0.21367629909956898,0.0032450939780914487,success,6.731543302536011
pbmc3k,ae,mse,24,9,2700,270,test,2000,44,,,unknown,False,disabled_no_ground_truth(label_source=unknown),in_memory,unknown,,,,,,none,0.21795592021059107,82,2.162663459777832,34.52001953125,,,0.36933276057243347,0.36933276057243347,,0.2181916054752138,0.0030923682131099293,success,5.795015811920166
pbmc3k,ae,mse,32,9,2700,270,test,2000,42,,,unknown,False,disabled_no_ground_truth(label_source=unknown),in_memory,unknown,,,,,,none,0.21359610943882554,100,2.1742706298828125,34.53955078125,,,0.3502851128578186,0.3502851128578186,,0.21758554191501053,0.0031605864327986064,success,6.799612045288086
pbmc3k,ae,mse,32,9,2700,270,test,2000,43,,,unknown,False,disabled_no_ground_truth(label_source=unknown),in_memory,unknown,,,,,,none,0.21899012371345802,95,2.1692428588867188,34.53955078125,,,0.38193708658218384,0.38193708658218384,,0.2145089543528027,0.003049446261665368,success,6.8222668170928955
pbmc3k,ae,mse,32,9,2700,270,test,2000,44,,,unknown,False,disabled_no_ground_truth(label_source=unknown),in_memory,unknown,,,,,,none,0.21717010957223398,100,2.2063398361206055,34.53955078125,,,0.34298837184906006,0.34298837184906006,,0.21723481471891756,0.002941120655370513,success,7.335888624191284
pbmc3k,ae,mse,48,9,2700,270,test,2000,42,,,unknown,False,disabled_no_ground_truth(label_source=unknown),in_memory,unknown,,,,,,none,0.2127832951369109,100,2.1943321228027344,34.57861328125,,,0.36248886585235596,0.36248886585235596,,0.21712415273542757,0.003069405295306622,success,7.21851110458374
pbmc3k,ae,mse,48,9,2700,270,test,2000,43,,,unknown,False,disabled_no_ground_truth(label_source=unknown),in_memory,unknown,,,,,,none,0.2191648461200573,86,2.158742904663086,34.57861328125,,,0.36695432662963867,0.36695432662963867,,0.2146604334866559,0.0030244854819174386,success,6.17244291305542
pbmc3k,ae,mse,48,9,2700,270,test,2000,44,,,unknown,False,disabled_no_ground_truth(label_source=unknown),in_memory,unknown,,,,,,none,0.2180307008602001,87,2.168722152709961,34.57861328125,,,0.3590601682662964,0.3590601682662964,,0.21816358742890535,0.00310070822537894,success,6.137972354888916
pbmc3k,ae,mse,64,9,2700,270,test,2000,42,,,unknown,False,disabled_no_ground_truth(label_source=unknown),in_memory,unknown,,,,,,none,0.21318191013954305,100,2.172104835510254,34.61767578125,,,0.34092119336128235,0.34092119336128235,,0.2170874704917272,0.0027700035956470417,success,7.259006023406982
pbmc3k,ae,mse,64,9,2700,270,test,2000,43,,,unknown,False,disabled_no_ground_truth(label_source=unknown),in_memory,unknown,,,,,,none,0.21910978732285677,78,2.1599292755126953,34.61767578125,,,0.4073469936847687,0.4073469936847687,,0.21464789498735357,0.0031467645315942307,success,5.841885805130005
pbmc3k,ae,mse,64,9,2700,270,test,2000,44,,,unknown,False,disabled_no_ground_truth(label_source=unknown),in_memory,unknown,,,,,,none,0.21743296296508224,100,2.204082489013672,34.61767578125,,,0.34066590666770935,0.34066590666770935,,0.21743891548227381,,success,7.214875221252441
pbmc3k,ae,nb,2,9,2700,270,test,2000,42,,,unknown,False,disabled_no_ground_truth(label_source=unknown),in_memory,unknown,,,,,,none,730.9116269712094,27,2.0838661193847656,56.2783203125,,,0.37137866020202637,0.37137866020202637,,0.38192424818321513,0.0033616021227784823,success,2.712970018386841
pbmc3k,ae,nb,2,9,2700,270,test,2000,43,,,unknown,False,disabled_no_ground_truth(label_source=unknown),in_memory,unknown,,,,,,none,753.9265548140914,39,2.073380470275879,56.2783203125,,,0.34937265515327454,0.34937265515327454,,0.36309610583164076,0.002835431710308273,success,3.0803985595703125
pbmc3k,ae,nb,2,9,2700,270,test,2000,44,,,unknown,False,disabled_no_ground_truth(label_source=unknown),in_memory,unknown,,,,,,none,709.5392921730324,30,2.0796995162963867,56.2783203125,,,0.370082825422287,0.370082825422287,,0.3607853889465332,0.0032319316123230733,success,2.499596357345581
pbmc3k,ae,nb,4,9,2700,270,test,2000,42,,,unknown,False,disabled_no_ground_truth(label_source=unknown),in_memory,unknown,,,,,,none,727.9318196614583,30,2.1039419174194336,56.283203125,,,0.3189062178134918,0.3189062178134918,,0.3795792802616402,0.0031580527296364,success,2.355025291442871
pbmc3k,ae,nb,4,9,2700,270,test,2000,43,,,unknown,False,disabled_no_ground_truth(label_source=unknown),in_memory,unknown,,,,,,none,757.3774459273727,39,2.0985469818115234,56.283203125,,,0.3294183611869812,0.3294183611869812,,0.3659551816957968,0.00283528414654299,success,2.933048725128174
pbmc3k,ae,nb,4,9,2700,270,test,2000,44,,,unknown,False,disabled_no_ground_truth(label_source=unknown),in_memory,unknown,,,,,,none,706.8279486762153,39,2.1088085174560547,56.283203125,,,0.3175230920314789,0.3175230920314789,,0.36377554535865786,0.0026161425801900415,success,2.8582451343536377
pbmc3k,ae,nb,6,9,2700,270,test,2000,42,,,unknown,False,disabled_no_ground_truth(label_source=unknown),in_memory,unknown,,,,,,none,735.2547110098379,24,2.0988712310791016,56.2880859375,,,0.30745986104011536,0.30745986104011536,,0.38625455300013223,0.0030449761579377866,success,1.9093165397644043
pbmc3k,ae,nb,6,9,2700,270,test,2000,43,,,unknown,False,disabled_no_ground_truth(label_source=unknown),in_memory,unknown,,,,,,none,751.0860613787615,76,2.102206230163574,56.2880859375,,,0.31468677520751953,0.31468677520751953,,0.36503533433984825,0.002898695202785245,success,5.634219408035278
