dataset,model_type,loss_type,latent_dim,K,n_cells,n_cells_eval,eval_split,n_genes,seed,batch_key,label_key,label_source,external_metrics_enabled,external_metrics_note,data_mode,git_commit,fit_formula_name,fit_score_r2,fit_rmse,elbo,best_val_loss,total_epochs,peak_cpu_mem_mb,peak_gpu_mem_mb,ari,ami,silhouette,silhouette_kmeans,silhouette_true_labels,reconstruction_loss,centrality_variance,status,runtime_seconds
pbmc3k,ae,mse,2,9,2700,270,test,2000,42,,,unknown,False,disabled_no_ground_truth(label_source=unknown),in_memory,unknown,,,,,0.3913910256491767,1,2.060727119445801,,,,0.3597095012664795,0.3597095012664795,,0.40568170459182173,0.002311893527826613,success,20.563297271728516
pbmc3k,ae,mse,2,9,2700,270,test,2000,43,,,unknown,False,disabled_no_ground_truth(label_source=unknown),in_memory,unknown,,,,,0.4050212323665619,1,1.0992774963378906,,,,0.4699503183364868,0.4699503183364868,,0.38535479704538983,0.0031481729100764923,success,2.2961599826812744
pbmc3k,ae,mse,2,9,2700,270,test,2000,44,,,unknown,False,disabled_no_ground_truth(label_source=unknown),in_memory,unknown,,,,,0.37800283321627864,1,2.018130302429199,,,,0.433639258146286,0.433639258146286,,0.38381377458572385,0.0027813863621860358,success,2.4380130767822266
paul15,ae,mse,2,19,2730,273,test,2000,42,,paul15_clusters,provided:paul15_clusters,True,enabled_ground_truth,in_memory,unknown,,,,,0.9719906320502033,1,2.017807960510254,,0.075722481850994,0.1779735563287563,0.5225635766983032,0.5225635766983032,-0.3788883686065674,0.9710794176374163,0.003362945721486439,success,2.2759737968444824
paul15,ae,mse,2,19,2730,273,test,2000,43,,paul15_clusters,provided:paul15_clusters,True,enabled_ground_truth,in_memory,unknown,,,,,1.0185852004931524,1,2.0367355346679688,,0.06876845816721248,0.16387631505492659,0.5172097682952881,0.5172097682952881,-0.3911556005477905,1.016255600111825,0.003113539915783907,success,2.194652557373047
paul15,ae,mse,2,19,2730,273,test,2000,44,,paul15_clusters,provided:paul15_clusters,True,enabled_ground_truth,in_memory,unknown,,,,,1.0001074521096198,1,2.042654037475586,,0.07631870549713277,0.1774854173061248,0.488937646150589,0.488937646150589,-0.3875824213027954,1.0001218078773975,0.0033628645524718826,success,2.1399407386779785
