dataset,model_type,loss_type,latent_dim,K,n_cells,n_genes,seed,batch_key,label_key,data_mode,git_commit,fit_formula_name,fit_score_r2,fit_rmse,best_val_loss,total_epochs,peak_cpu_mem_mb,peak_gpu_mem_mb,ari,ami,silhouette,reconstruction_loss,centrality_variance,status,runtime_seconds
pbmc3k,ae,mse,2,9,2700,2000,42,,,in_memory,unknown,,,,0.2157681691425818,100,2.2335987091064453,34.46630859375,0.0009012883785766134,-0.0009403175072127366,-0.08096742630004883,0.2172275568820812,0.0003665408628773288,success,22.067243576049805
pbmc3k,ae,mse,2,9,2700,2000,43,,,in_memory,unknown,,,,0.22166929377449884,100,2.195240020751953,34.46630859375,0.0008279873368292984,-0.00021158837134821498,-0.043703194707632065,0.21630338308987795,0.0003662201071239436,success,7.250573635101318
pbmc3k,ae,mse,2,9,2700,2000,44,,,in_memory,unknown,,,,0.22036974750183247,100,2.18350887298584,34.46630859375,-0.0024039599118891733,-0.0013395598035828712,-0.17131684720516205,0.2178223849667443,0.0003658594814853562,success,7.197201251983643
pbmc3k,ae,mse,4,9,2700,2000,42,,,in_memory,unknown,,,,0.21420346432261997,100,2.187826156616211,34.47119140625,-0.0015821978335992587,-0.00019955896359296813,-0.08743548393249512,0.21449475160351505,0.00036724263201573455,success,7.389196872711182
pbmc3k,ae,mse,4,9,2700,2000,43,,,in_memory,unknown,,,,0.21850479852270197,100,2.2182435989379883,34.47119140625,-0.000978323477455385,0.001810303428110965,-0.08629238605499268,0.21304728163613212,0.00036554842492249367,success,7.741178274154663
pbmc3k,ae,mse,4,9,2700,2000,44,,,in_memory,unknown,,,,0.2180009169711007,100,2.177037239074707,34.47119140625,-0.001526107221722082,-0.0009246463167075499,-0.04771822318434715,0.21323579651338082,0.000367140000888246,success,7.297289133071899
pbmc3k,ae,mse,6,9,2700,2000,42,,,in_memory,unknown,,,,0.21308215183240395,100,2.1826391220092773,34.47607421875,-0.0012274572589312904,-0.0018184169150314668,-0.08271483331918716,0.21291371957019523,0.0003615337944291212,success,7.372593879699707
pbmc3k,ae,mse,6,9,2700,2000,43,,,in_memory,unknown,,,,0.21932396679012864,87,2.176166534423828,34.47607421875,0.002168237406702333,-0.0003173435232898448,-0.040625013411045074,0.21364088305720577,0.000363995272441843,success,6.49651026725769
pbmc3k,ae,mse,6,9,2700,2000,44,,,in_memory,unknown,,,,0.21757566663953992,100,2.1995983123779297,34.47607421875,0.0001377721158560014,0.0010558722360411866,-0.036639612168073654,0.21214219128644024,0.0003597135074857692,success,7.554337978363037
pbmc3k,ae,mse,8,9,2700,2000,42,,,in_memory,unknown,,,,0.21323532395892672,100,2.19417667388916,34.48095703125,-0.002277838855604341,-0.0004938198938921765,-0.10878624022006989,0.21258258863731666,0.0003590430065261294,success,7.553863525390625
pbmc3k,ae,mse,8,9,2700,2000,43,,,in_memory,unknown,,,,0.2186636988763456,80,2.1708545684814453,34.48095703125,-0.0027823347543638453,-0.0009519003600990276,-0.11630447953939438,0.213816815327715,0.00036334716371572503,success,6.293309211730957
pbmc3k,ae,mse,8,9,2700,2000,44,,,in_memory,unknown,,,,0.21800416906674702,89,2.1529760360717773,34.48095703125,-0.002559085994157599,0.0006164867096493221,-0.15281294286251068,0.21326075904899172,0.0003621995410199199,success,6.57232928276062
pbmc3k,ae,mse,10,9,2700,2000,42,,,in_memory,unknown,,,,0.2118496569218459,100,2.125852584838867,34.48583984375,-0.0002196643162017084,0.0008064038036255862,-0.25571227073669434,0.21131066238438642,0.0003628342271867877,success,7.644423961639404
