dataset,model_type,loss_type,latent_dim,K,n_cells,n_cells_eval,eval_split,n_genes,seed,batch_key,label_key,label_source,label_source_category,label_trust,onboard_source_label_key,onboard_source_batch_key,onboard_source_label_ontology_key,onboard_source_label_ontology_nonnull_fraction,onboard_contract_label_key,onboard_contract_batch_key,ts2_ground_truth_evidence,is_ground_truth_labels,is_untrusted_labels,is_curated_labels,is_inferred_labels,is_synthetic,n_batches,zero_fraction,external_metrics_enabled,external_metrics_note,data_mode,requested_data_mode,effective_data_mode,backed_fallback_reason,git_commit,fit_formula_name,fit_score_r2,fit_rmse,elbo,calinski_harabasz,davies_bouldin,trustworthiness,continuity,silhouette_sampled,silhouette_n_used,silhouette_n_total,batch_silhouette,batch_silhouette_mixing,batch_knn_entropy,batch_metrics_mode,batch_metrics_n_used,batch_metrics_n_total,centrality_mode,centrality_n_used,centrality_n_total,error,error_type,best_val_loss,total_epochs,peak_cpu_mem_mb,peak_gpu_mem_mb,ari,ami,silhouette,silhouette_kmeans,silhouette_true_labels,reconstruction_loss,centrality_variance,status,runtime_seconds
scvi_pbmc12k,ae,nb,2,9,11989,1199,test,2000,42,batch,labels,provided:labels,provided,ground_truth,,,,,,,False,True,False,True,False,False,2,0.8924562135112594,True,enabled_ground_truth,in_memory,in_memory,in_memory,,e849ec8,,,,,2225.309334545441,0.7947880386943682,0.8204662575656035,0.8023372401714555,False,1199,1199,-0.0038178509566932917,0.0038178509566932917,0.8568325706556289,full,1199,1199,full,1199,1199,,none,683.3874450123639,60,2.237790107727051,56.2783203125,0.4598815443947299,0.664192803058212,0.4289269745349884,0.4289269745349884,0.3223361670970917,0.3408851231556321,0.0008196369095986606,success,29.47997760772705
scvi_pbmc12k,ae,nb,2,9,11989,1199,test,2000,43,batch,labels,provided:labels,provided,ground_truth,,,,,,,False,True,False,True,False,False,2,0.8923990825688073,True,enabled_ground_truth,in_memory,in_memory,in_memory,,e849ec8,,,,,1620.1451996813666,0.7401266968724673,0.81425551239523,0.7679546837589959,False,1199,1199,-0.010809877887368202,0.010809877887368202,0.8688760497721598,full,1199,1199,full,1199,1199,,none,670.4286859940249,60,2.1861648559570312,56.2783203125,0.5638614524877382,0.6936525200774051,0.457907110452652,0.457907110452652,0.33402013778686523,0.3420666361521243,0.0008013671087024593,success,16.27681612968445
scvi_pbmc12k,ae,nb,4,9,11989,1199,test,2000,42,batch,labels,provided:labels,provided,ground_truth,,,,,,,False,True,False,True,False,False,2,0.8924562135112594,True,enabled_ground_truth,in_memory,in_memory,in_memory,,e849ec8,,,,,1018.3200130967467,0.9008528525678217,0.8406196319490984,0.8266966104555363,False,1199,1199,-0.0028140279464423656,0.0028140279464423656,0.8468770254120077,full,1199,1199,full,1199,1199,,none,677.3458746750222,60,2.1031150817871094,56.283203125,0.5568852786625916,0.6402340356357272,0.4191405475139618,0.4191405475139618,0.302692174911499,0.3382276541447023,0.0008115532372602778,success,16.292536973953247
scvi_pbmc12k,ae,nb,4,9,11989,1199,test,2000,43,batch,labels,provided:labels,provided,ground_truth,,,,,,,False,True,False,True,False,False,2,0.8923990825688073,True,enabled_ground_truth,in_memory,in_memory,in_memory,,e849ec8,,,,,717.4816451171653,0.9322709041966039,0.8351496384126431,0.7536009927108303,False,1199,1199,-0.0021453173831105232,0.0021453173831105232,0.8673287781765201,full,1199,1199,full,1199,1199,,none,666.059746698502,60,2.096320152282715,56.283203125,0.6417494524499154,0.6765689845867819,0.41412433981895447,0.41412433981895447,0.308794230222702,0.3383242663887762,0.0007938819890537811,success,21.92757511138916
scvi_pbmc12k,ae,nb,8,9,11989,1199,test,2000,42,batch,labels,provided:labels,provided,ground_truth,,,,,,,False,True,False,True,False,False,2,0.8924562135112594,True,enabled_ground_truth,in_memory,in_memory,in_memory,,e849ec8,,,,,765.0313275075412,0.9422774778802032,0.8527414042908693,0.7636040108990909,False,1199,1199,-0.0024953593965619802,0.0024953593965619802,0.8430921905749512,full,1199,1199,full,1199,1199,,none,676.5270441737744,60,2.0828285217285156,56.29296875,0.64754548408244,0.687076571622951,0.36343759298324585,0.36343759298324585,0.24828940629959106,0.3379976498126188,0.0008141547714899062,success,16.19951820373535
scvi_pbmc12k,ae,nb,8,9,11989,1199,test,2000,43,batch,labels,provided:labels,provided,ground_truth,,,,,,,False,True,False,True,False,False,2,0.8923990825688073,True,enabled_ground_truth,in_memory,in_memory,in_memory,,e849ec8,,,,,593.2208442381339,1.1494638810925153,0.8484988539988193,0.7423808953585027,False,1199,1199,-0.00646569998934865,0.00646569998934865,0.8517541175810698,full,1199,1199,full,1199,1199,,none,664.9259176755369,60,2.0875234603881836,56.29296875,0.6259730108932116,0.6827952994935538,0.3346344232559204,0.3346344232559204,0.2149006575345993,0.33758931869859987,0.0008005929774352056,success,16.075485229492188
scvi_pbmc12k,ae,nb,16,9,11989,1199,test,2000,42,batch,labels,provided:labels,provided,ground_truth,,,,,,,False,True,False,True,False,False,2,0.8924562135112594,True,enabled_ground_truth,in_memory,in_memory,in_memory,,e849ec8,,,,,507.60000529744735,0.9993842746730065,0.8544703849905708,0.777048463980269,False,1199,1199,0.0006549051031470299,-0.0006549051031470299,0.8550322535835471,full,1199,1199,full,1199,1199,,none,675.6857436739275,60,2.096266746520996,56.3125,0.6411750299915113,0.6967258504464029,0.33767905831336975,0.33767905831336975,0.25536397099494934,0.33738683471091097,0.0008136159010429402,success,16.512466192245483
scvi_pbmc12k,ae,nb,16,9,11989,1199,test,2000,43,batch,labels,provided:labels,provided,ground_truth,,,,,,,False,True,False,True,False,False,2,0.8923990825688073,True,enabled_ground_truth,in_memory,in_memory,in_memory,,e849ec8,,,,,562.007181987108,1.0469158846153714,0.8485848478546003,0.7644514845494671,False,1199,1199,-0.007486036513000727,0.007486036513000727,0.8697848052736821,full,1199,1199,full,1199,1199,,none,665.3162469171901,60,2.0900487899780273,56.3125,0.6442243959527121,0.692007114779016,0.3724789321422577,0.3724789321422577,0.2726247012615204,0.3377644800463749,0.0007959353802892088,success,16.377164840698242
scvi_pbmc12k,ae,nb,24,9,11989,1199,test,2000,42,batch,labels,provided:labels,provided,ground_truth,,,,,,,False,True,False,True,False,False,2,0.8924562135112594,True,enabled_ground_truth,in_memory,in_memory,in_memory,,e849ec8,,,,,526.9853748651808,1.1630007307944084,0.8558261187429491,0.8169319661150595,False,1199,1199,-0.0007478470215573907,0.0007478470215573907,0.8599306727018039,full,1199,1199,full,1199,1199,,none,675.755567485437,60,2.091982841491699,56.33203125,0.6493147011813254,0.7138966820189462,0.332891583442688,0.332891583442688,0.28485071659088135,0.3375697316131162,0.0008131307593011016,success,18.173197984695435
scvi_pbmc12k,ae,nb,24,9,11989,1199,test,2000,43,batch,labels,provided:labels,provided,ground_truth,,,,,,,False,True,False,True,False,False,2,0.8923990825688073,True,enabled_ground_truth,in_memory,in_memory,in_memory,,e849ec8,,,,,494.89066680238545,1.1389379001844055,0.8500464632925983,0.7819006742954702,False,1199,1199,-0.007361953612416983,0.007361953612416983,0.8665432569484602,full,1199,1199,full,1199,1199,,none,666.1259912231548,60,2.0908899307250977,56.33203125,0.6338372395361966,0.6831092828304073,0.34873223304748535,0.34873223304748535,0.31079715490341187,0.3382420406130774,0.0008052240931510651,success,16.5647873878479
