dataset,model_loss,latent_dim,mean_score,std_score,n
aifi_immune_full,scvi:nb,4,0.3415165431753761,,1
aifi_immune_full,scvi:nb,6,0.2827833219341319,,1
aifi_immune_full,scvi:nb,8,0.3106636229031857,0.00041809520394880256,2
aifi_immune_full,scvi:nb,10,0.3287619638927829,,1
aifi_immune_full,scvi:nb,12,0.3163534608231159,,1
aifi_immune_full,scvi:nb,16,0.3023051935951952,0.016960108401417415,2
aifi_immune_full,scvi:nb,24,0.2981771962496147,0.004236231014395467,2
aifi_immune_full,scvi:nb,32,0.3014755644993896,0.028413437087086664,2
paul15,ae:mse,2,0.30364529821252356,0.007606508885039959,3
paul15,ae:mse,4,0.33081209977392984,0.03221761639341278,3
paul15,ae:mse,6,0.34101891757463193,0.023753306413051723,3
paul15,ae:mse,8,0.31664652562303375,0.024638937569813238,3
paul15,ae:mse,10,0.3107753978459798,0.03079935809871289,3
paul15,ae:mse,12,0.33315682912423367,0.03872625849947251,3
paul15,ae:mse,16,0.30251163737479864,0.022316513237297567,3
paul15,ae:mse,20,0.3245397078358439,0.0317855360464422,3
paul15,ae:mse,24,0.29772302297570835,0.012067511091523101,3
paul15,ae:mse,32,0.3219488076959368,0.015774234710407023,3
paul15,ae:mse,48,0.34246253201526106,0.037271528241083554,3
paul15,ae:mse,64,0.3212574378678362,0.015245006182447878,3
paul15,ae:nb,2,0.20967054942158528,0.014789242880046577,3
paul15,ae:nb,4,0.23558467888195747,0.046122258444850205,3
paul15,ae:nb,6,0.22485495880183323,0.034649891590133805,3
paul15,ae:nb,8,0.25149520424794275,0.06239431684410397,3
paul15,ae:nb,10,0.24602207307562204,0.01835548680395786,3
paul15,ae:nb,12,0.21852405029975838,0.03398568076360423,3
paul15,ae:nb,16,0.23327378333333948,0.029516209997690272,3
paul15,ae:nb,20,0.2555579338911595,0.05869795755645739,3
paul15,ae:nb,24,0.25749641143683405,0.04769920207053904,3
paul15,ae:nb,32,0.23528543039803204,0.04649040412733177,3
paul15,ae:nb,48,0.25717373959892353,0.028751978692859687,3
paul15,ae:nb,64,0.2554967845699429,0.053153321844121776,3
paul15,ae:zinb,2,0.20368244205826144,0.034008565435471774,3
paul15,ae:zinb,4,0.2239902989809197,0.03617790920913071,3
paul15,ae:zinb,6,0.2387203445800531,0.05785066495383681,3
paul15,ae:zinb,8,0.24262686718368917,0.051519630129421595,3
paul15,ae:zinb,10,0.2383168961808827,0.03739357105172616,3
paul15,ae:zinb,12,0.23417829960649814,0.05798490347711277,3
paul15,ae:zinb,16,0.24922422699319893,0.038725260001434544,3
paul15,ae:zinb,20,0.22835531962847844,0.04480782936847767,3
paul15,ae:zinb,24,0.2379597808693141,0.052619628798941345,3
paul15,ae:zinb,32,0.23499944246846236,0.05060576108570811,3
paul15,ae:zinb,48,0.2428963965303583,0.057224960763727066,3
paul15,ae:zinb,64,0.2352831795643722,0.028906568221155907,3
paul15,scvi:nb,2,0.40404907182634875,0.012517688424534714,3
paul15,scvi:nb,4,0.3372407785343305,0.031921009342795334,3
paul15,scvi:nb,6,0.36036272201434033,0.033816080555084775,3
paul15,scvi:nb,8,0.3086696083928024,0.026519371574258616,3
paul15,scvi:nb,10,0.3047372804152914,0.02264017449844088,3
paul15,scvi:nb,12,0.3344535509840678,0.027701037272891794,3
