dataset,model_type,loss_type,K,recommended_d,selection_metric,selection_score,mean_ari,mean_silhouette_kmeans
splatter_k08,ae,mse,8,12,ari,0.07256704411065455,0.07256704411065455,0.20820367336273193
splatter_k08,ae,nb,8,24,ari,0.45899477923691423,0.45899477923691423,0.34521687030792236
splatter_k08,ae,zinb,8,4,ari,0.469452518423945,0.469452518423945,0.3600381165742874
splatter_k08,scvi,nb,8,2,ari,1.0,1.0,0.7577917575836182
splatter_k08,scvi,zinb,8,2,ari,1.0,1.0,0.761364221572876
splatter_k08,vae,mse,8,2,ari,0.0036361469663294486,0.0036361469663294486,0.33370839059352875
splatter_k08,vae,nb,8,4,ari,0.15897537259980993,0.15897537259980993,0.3155062794685364
splatter_k08,vae,zinb,8,4,ari,0.13522942431821885,0.13522942431821885,0.3481621742248535
