dataset,model_loss,mean_batch_sil,mean_batch_mixing,mean_batch_entropy,n_batches,n
aifi_immune_full,scvi:nb,-0.05651569118102387,0.05651569118102387,0.6343820651228351,36.0,12
ts1_all_cells,scvi:nb,-0.13041333481669423,0.13041333481669423,0.24001648590584887,15.0,6
ts2_lung,scvi:nb,-0.004358181776600108,0.004358181776600108,0.46281272822914815,4.0,12
