dataset,model_type,loss_type,latent_dim,K,n_cells,n_cells_eval,eval_split,n_genes,seed,batch_key,label_key,label_source,label_source_category,label_trust,onboard_source_label_key,onboard_source_batch_key,onboard_source_label_ontology_key,onboard_source_label_ontology_nonnull_fraction,onboard_contract_label_key,onboard_contract_batch_key,ts2_ground_truth_evidence,is_ground_truth_labels,is_untrusted_labels,is_curated_labels,is_inferred_labels,is_synthetic,n_batches,zero_fraction,external_metrics_enabled,external_metrics_note,data_mode,requested_data_mode,effective_data_mode,backed_fallback_reason,git_commit,fit_formula_name,fit_score_r2,fit_rmse,elbo,calinski_harabasz,davies_bouldin,trustworthiness,continuity,silhouette_sampled,silhouette_n_used,silhouette_n_total,batch_silhouette,batch_silhouette_mixing,batch_knn_entropy,batch_metrics_mode,batch_metrics_n_used,batch_metrics_n_total,centrality_mode,centrality_n_used,centrality_n_total,error,error_type,best_val_loss,total_epochs,peak_cpu_mem_mb,peak_gpu_mem_mb,ari,ami,silhouette,silhouette_kmeans,silhouette_true_labels,reconstruction_loss,centrality_variance,status,runtime_seconds
pbmc3k,vae,mse,2,9,2700,270,test,2000,44,,,unknown,unknown,unknown,,,,,,,False,False,False,False,False,False,,0.9058037037037037,False,"disabled_no_ground_truth(label_source=unknown,label_trust=unknown)",in_memory,in_memory,in_memory,,e849ec8,,,,-0.26396893042105213,209.91192162017558,0.8556070849292392,0.51986994628216,0.5324370935821318,False,270,270,,,,not_available,0,270,full,270,270,,none,0.2619255942327005,33,2.079707145690918,34.4765625,,,0.3350414037704468,0.3350414037704468,,0.26393620371818544,0.0013621957414371457,success,2.7327404022216797
pbmc3k,vae,mse,4,9,2700,270,test,2000,42,,,unknown,unknown,unknown,,,,,,,False,False,False,False,False,False,,0.9050092592592592,False,"disabled_no_ground_truth(label_source=unknown,label_trust=unknown)",in_memory,in_memory,in_memory,,e849ec8,,,,-0.26771017092245597,142.2800844241363,1.1638124080206749,0.5368532654792196,0.5359315804353972,False,270,270,,,,not_available,0,270,full,270,270,,none,0.2570216291480594,39,2.0883026123046875,34.49072265625,,,0.23667766153812408,0.23667766153812408,,0.26765479953200727,0.0009827760225914657,success,3.3217058181762695
pbmc3k,vae,mse,4,9,2700,270,test,2000,43,,,unknown,unknown,unknown,,,,,,,False,False,False,False,False,False,,0.9059592592592592,False,"disabled_no_ground_truth(label_source=unknown,label_trust=unknown)",in_memory,in_memory,in_memory,,e849ec8,,,,-0.2594329949882295,132.66799157509735,1.252302881271201,0.5462482329657902,0.5719819055696918,False,270,270,,,,not_available,0,270,full,270,270,,none,0.2690328386094835,51,2.1137847900390625,34.49072265625,,,0.23045729100704193,0.23045729100704193,,0.25933940719675136,0.0007637302231701829,success,3.9993879795074463
pbmc3k,vae,mse,4,9,2700,270,test,2000,44,,,unknown,unknown,unknown,,,,,,,False,False,False,False,False,False,,0.9058037037037037,False,"disabled_no_ground_truth(label_source=unknown,label_trust=unknown)",in_memory,in_memory,in_memory,,e849ec8,,,,-0.2639935707604444,94.9436103143952,1.3234939986145726,0.5476109697483743,0.5604495335029687,False,270,270,,,,not_available,0,270,full,270,270,,none,0.261964722915932,44,2.101241111755371,34.49072265625,,,0.1974945217370987,0.1974945217370987,,0.26391056334530866,0.0014275746682966062,success,3.4948043823242188
pbmc3k,vae,mse,6,9,2700,270,test,2000,42,,,unknown,unknown,unknown,,,,,,,False,False,False,False,False,False,,0.9050092592592592,False,"disabled_no_ground_truth(label_source=unknown,label_trust=unknown)",in_memory,in_memory,in_memory,,e849ec8,,,,-0.2677634663052029,135.7554265013323,1.3096533343388472,0.5861379700310998,0.5385439638111393,False,270,270,,,,not_available,0,270,full,270,270,,none,0.2569963433124401,66,2.152923583984375,34.5048828125,,,0.18085069954395294,0.18085069954395294,,0.26770017147064207,0.0011081194630094225,success,5.384572505950928
pbmc3k,vae,mse,6,9,2700,270,test,2000,43,,,unknown,unknown,unknown,,,,,,,False,False,False,False,False,False,,0.9059592592592592,False,"disabled_no_ground_truth(label_source=unknown,label_trust=unknown)",in_memory,in_memory,in_memory,,e849ec8,,,,-0.25941560787183265,90.00255380898308,1.5291766760700436,0.5518348883234379,0.5888634435962681,False,270,270,,,,not_available,0,270,full,270,270,,none,0.2690098888344235,58,2.1187009811401367,34.5048828125,,,0.1741473376750946,0.1741473376750946,,0.2593497850276806,0.0017308541870297831,success,4.65557336807251
pbmc3k,vae,mse,6,9,2700,270,test,2000,44,,,unknown,unknown,unknown,,,,,,,False,False,False,False,False,False,,0.9058037037037037,False,"disabled_no_ground_truth(label_source=unknown,label_trust=unknown)",in_memory,in_memory,in_memory,,e849ec8,,,,-0.26391656354621607,182.0468443656428,1.212776150395171,0.5512383375742154,0.5467627933276789,False,270,270,,,,not_available,0,270,full,270,270,,none,0.2618930759253325,70,2.142683982849121,34.5048828125,,,0.19697259366512299,0.19697259366512299,,0.26382958447491683,0.0007401583730503036,success,5.455667495727539
pbmc3k,vae,mse,8,9,2700,270,test,2000,42,,,unknown,unknown,unknown,,,,,,,False,False,False,False,False,False,,0.9050092592592592,False,"disabled_no_ground_truth(label_source=unknown,label_trust=unknown)",in_memory,in_memory,in_memory,,e849ec8,,,,-0.26771942730303167,319.3581473925095,0.9806802650139939,0.5554311563471869,0.5698812553011026,False,270,270,,,,not_available,0,270,full,270,270,,none,0.2569895664850871,99,2.1559553146362305,34.51904296875,,,0.2577342689037323,0.2577342689037323,,0.26766581888552066,0.0016979698945333071,success,7.267141342163086
pbmc3k,vae,mse,8,9,2700,270,test,2000,43,,,unknown,unknown,unknown,,,,,,,False,False,False,False,False,False,,0.9059592592592592,False,"disabled_no_ground_truth(label_source=unknown,label_trust=unknown)",in_memory,in_memory,in_memory,,e849ec8,,,,-0.2594341100366027,108.90027296588437,1.3036978443543417,0.5485213457732541,0.573214588634436,False,270,270,,,,not_available,0,270,full,270,270,,none,0.26906301975250246,63,2.1430130004882812,34.51904296875,,,0.20678366720676422,0.20678366720676422,,0.25933728758935576,0.0011864601543979914,success,5.001775741577148
pbmc3k,vae,mse,8,9,2700,270,test,2000,44,,,unknown,unknown,unknown,,,,,,,False,False,False,False,False,False,,0.9058037037037037,False,"disabled_no_ground_truth(label_source=unknown,label_trust=unknown)",in_memory,in_memory,in_memory,,e849ec8,,,,-0.2640240207866386,140.68074818104824,1.4552685904871292,0.5283517104891151,0.5380718122702856,False,270,270,,,,not_available,0,270,full,270,270,,none,0.26191514333089194,67,2.1428327560424805,34.51904296875,,,0.17958153784275055,0.17958153784275055,,0.26394204409034167,0.0007440344053783759,success,5.2892937660217285
