dataset,model_type,loss_type,K,recommended_d,selection_metric,selection_score,mean_ari,mean_silhouette_kmeans,report_scope
scvi_pbmc12k,scvi,nb,9,4,ari,0.6662135919395632,0.6662135919395632,0.407213807106018,primary
paul15,scvi,nb,19,2,ari,0.4040490718263487,0.4040490718263487,0.3884666562080383,primary
aifi_immune_full,scvi,nb,29,4,ari,0.3415165431753761,0.3415165431753761,0.2349282950162887,primary
ts2_lung,scvi,nb,34,12,ari,0.430245140388703,0.430245140388703,0.2399705052375793,primary
ts1_all_cells,scvi,nb,177,10,ari,0.2703901399451687,0.2703901399451687,0.2041497677564621,primary
