model_loss,latent_dim,ari_mean,ari_std,ami_mean,sil_mean,sil_std,recon_mean,recon_std,n_seeds
ae:nb,8,0.0075996458963861,,0.1318611562693789,0.6741578578948975,,0.2113888554619838,,1
ae:nb,16,0.0078098258390874,,0.1278339061275715,0.7006580829620361,,0.2088949963572562,,1
ae:nb,24,0.0070950890502729,,0.1200127197332726,0.672347366809845,,0.2139337083227795,,1
ae:nb,32,0.0054675712487034,,0.1014330942155469,0.704024612903595,,0.2049097341756491,,1
scvi:nb,4,0.2387640297294938,,0.6227474698157006,0.2670044898986816,,285.8822631835937,,1
scvi:nb,6,0.2643031220524316,,0.6508247190186043,0.238647311925888,,282.175048828125,,1
scvi:nb,8,0.2676840830828185,0.01251433459399194,0.6548350818878244,0.2141652703285217,0.0022035847541193674,278.5538635253906,0.7347712981995221,2
scvi:nb,10,0.2703901399451687,,0.6592304422141309,0.2041497677564621,,278.1000061035156,,1
scvi:nb,12,0.2666423960120172,,0.6588312242550679,0.1921008825302124,,276.550048828125,,1
scvi:nb,16,0.26436728992796177,0.006028594585519043,0.6621147755783603,0.16788861155509943,0.004844232327296637,274.7942352294922,2.161004467418348,2
scvi:nb,24,0.25609456573439837,0.0010970272563005103,0.6526203906910244,0.136025495827198,0.0026707088128776943,272.10520935058594,0.894176748413909,2
scvi:nb,32,0.2614299746312218,0.0156521940986673,0.6560248294343733,0.1338090747594833,0.00042403944286810484,271.78594970703125,2.0665955267539657,2
