model_loss,latent_dim,ari_mean,ari_std,ami_mean,sil_mean,sil_std,recon_mean,recon_std,n_seeds
ae:mse,2,0.30364529821252356,0.007606508885039959,0.49325498718940075,0.3674151698748271,0.015562671876809648,0.5465464586885567,0.004427462920408243,3
ae:mse,4,0.33081209977392984,0.03221761639341278,0.5149554224438224,0.24905430773893986,0.0034751380171206586,0.5358515059409416,0.004047642976442931,3
ae:mse,6,0.34101891757463193,0.023753306413051723,0.5283857473217982,0.21152973175048825,0.014476888323492188,0.5316795589577438,0.004620761827568489,3
ae:mse,8,0.31664652562303375,0.024638937569813238,0.5046689434749481,0.18532091379165647,0.005065735549472043,0.5291617482864232,0.004698227567317277,3
ae:mse,10,0.3107753978459798,0.03079935809871289,0.4959051724423212,0.20220400889714554,0.002678566769087691,0.530013182952145,0.004442722099196321,3
ae:mse,12,0.33315682912423367,0.03872625849947251,0.5049066404945858,0.19077274203300468,0.015115521626390667,0.5286068951253925,0.0036146019833672278,3
ae:mse,16,0.30251163737479864,0.022316513237297567,0.4896538271895226,0.1906198561191558,0.01504263742105431,0.5292649459780646,0.005007320138170133,3
ae:mse,20,0.3245397078358439,0.0317855360464422,0.4960832333957907,0.19074975947539008,0.015755249555585892,0.5292007385301648,0.005523156574503275,3
ae:mse,24,0.29772302297570835,0.012067511091523101,0.48592504944923626,0.19703430434068037,0.01336451320266931,0.5297782086336279,0.004286769959949481,3
ae:mse,32,0.3219488076959368,0.015774234710407023,0.5049797488283437,0.18640242516994476,0.012590141444403583,0.5287571393672073,0.005760379377849506,3
ae:mse,48,0.34246253201526106,0.037271528241083554,0.5260549455074915,0.1870396534601847,0.013650111358661355,0.5287985285705408,0.0035717654574701704,3
ae:mse,64,0.3212574378678362,0.015245006182447878,0.5027360912444411,0.18600495159626004,0.014938068844003994,0.5285620058412517,0.003985821814133712,3
ae:nb,2,0.20967054942158528,0.014789242880046577,0.39086298941652836,0.3844729959964752,0.026796201444163857,0.6546938864011613,0.00825807808790061,3
