model_loss,mean_ari,mean_sil,mean_recon
ae:mse,0.660269559725573,0.41190504282712936,0.33490362812288277
ae:nb,0.6184362243658489,0.37073641767104465,0.33833739956261416
vae:nb,0.5958136245391441,0.3721635416150093,0.33889151878048057
scvi:nb,0.5948223724231743,0.28675157949328417,664.5167185465494
vae:mse,0.022564629217746674,0.22340965022643403,0.4037329074070955
