model_loss,latent_dim,ari_mean,ari_std,ami_mean,sil_mean,sil_std,recon_mean,recon_std,n_seeds
ae:mse,2,0.6407414602487755,0.034446035211616696,0.7389109398448678,0.5320504307746887,0.012113172849424989,0.34084577931773175,0.0014983049978288404,2
ae:mse,4,0.6453718051423465,0.02131241938383551,0.7293249240184838,0.4145457297563553,6.716100310210964e-05,0.3357346000723087,0.0015658885415419188,2
ae:mse,8,0.6421981999977046,0.019220334794638087,0.7264857031766354,0.3620637357234955,0.0002495514900330232,0.3336417999885995,0.001943213985284937,2
ae:mse,16,0.6806592629523297,0.020427847114451954,0.7656220243598858,0.39072950184345245,0.02852656757899224,0.33310738638403814,6.147699615402054e-05,2
ae:mse,24,0.6734678399366552,0.029359216189668635,0.7538475383914595,0.386877104640007,0.023161105176161403,0.33317719102900056,0.0021891955423395024,2
ae:mse,32,0.6791787900756266,0.03599552095964885,0.7585027147740971,0.3851637542247772,0.015237012967355452,0.3329150119456179,0.0014165558948161434,2
ae:nb,2,0.511871498441234,0.07352489811972014,0.6789226615678086,0.4434170424938202,0.020492050627087744,0.34147587965387816,0.000835455851879665,2
ae:nb,4,0.5993173655562536,0.060008032764810273,0.6584015101112546,0.41663244366645813,0.0035469944769798787,0.33827596026673923,6.831517293034089e-05,2
ae:nb,8,0.6367592474878258,0.015254042079068383,0.6849359355582524,0.34903600811958313,0.02036691663385888,0.3377934842556093,0.0002887336996922729,2
ae:nb,16,0.6426997129721117,0.0021562273494844892,0.6943664826127094,0.3550789952278137,0.024607226768842947,0.3375756573786429,0.0002670355775900235,2
ae:nb,24,0.641575970358761,0.01094421808482524,0.6985029824246767,0.34081190824508667,0.0112010307539522,0.3379058861130968,0.00047539425292529656,2
ae:nb,32,0.6783935513789068,0.0159083543572414,0.7337302354176485,0.31944210827350616,0.02864407299264067,0.3369975297077185,0.0005436128993784654,2
scvi:nb,2,0.6632987213157611,0.031191912678410424,0.7848407508137151,0.5381031334400177,0.011913691815422928,671.4268798828125,1.0738666338796188,2
scvi:nb,4,0.6662135919395632,0.02761593570713133,0.7797644578259311,0.40721380710601807,0.02341181570452838,667.0157470703125,0.9251428809518331,2
scvi:nb,8,0.569177324501322,0.07309630484627304,0.7272685564104264,0.2507851049304008,0.005170080149846477,664.1533508300781,0.09801266479947811,2
scvi:nb,16,0.5358984255849695,0.003922297213714458,0.7125909141011881,0.18618702143430704,0.017191710044305874,661.9210205078125,0.7773686122273007,2
scvi:nb,24,0.55665214751406,0.03894921984248561,0.7363315101229932,0.16876210272312164,0.0006691233669589537,661.4591369628906,0.4258436651591592,2
scvi:nb,32,0.57769402368337,0.051561038471798354,0.7263567610183714,0.16945830732583994,0.026570332142071232,661.1241760253906,0.3684430292352024,2
vae:mse,2,0.0237800629440676,0.02996193087890254,0.0464671699123047,0.32075902819633484,0.004268042761304195,0.4037041718309575,0.0005032917581386648,2
vae:mse,4,0.03090704236323745,0.040696665917876254,0.05076908374088375,0.19535049796104426,0.005436016227238081,0.4037242450373087,0.0006150699985921096,2
vae:mse,8,0.01827799435465025,0.013956867206097874,0.0314296604926573,0.15936600416898722,0.011654162059004998,0.4038461388599087,0.0005006720801692823,2
vae:mse,16,0.0194208223539148,0.004175466382855373,0.028912504667214546,0.1878031194210052,0.05004424069116836,0.4036913975464293,0.0006467371334030156,2
vae:mse,24,0.020502084583984698,0.000715929029596796,0.0177007859095078,0.23927094042301175,0.05847004898464793,0.403677363150611,0.000520622391094199,2
vae:mse,32,0.022499768706625248,0.003109884547308858,0.0293781328584682,0.23790831118822092,0.04180983177348885,0.4037541280173579,0.0006950454891039686,2
vae:nb,2,0.6154683765589366,0.017685360614461,0.7113472004341177,0.4758147001266479,0.010934072615484217,0.34107131742755004,0.0004776178946405291,2
vae:nb,4,0.5530288144633372,0.039436662928694056,0.7023358788687755,0.3500997722148895,0.011175658351148721,0.3384417882181387,0.00020223683680112078,2
vae:nb,8,0.5283458725957599,0.0059360779102726,0.7117680859055213,0.3285439610481262,0.026117896260018883,0.3383050746625418,0.0004183304255090566,2
vae:nb,16,0.5985330217353482,0.10805960948292632,0.742076464598703,0.3614909499883652,0.02352900501681298,0.3385057285291339,0.0003662779427447894,2
vae:nb,24,0.5980362402798545,0.11149673415104534,0.7355238525196898,0.33683645725250244,0.04522908968934422,0.33830305338651556,0.0003640674829046525,2
vae:nb,32,0.6814694216016282,0.03034311963756716,0.7607454584357767,0.38019540905952454,0.0089527914138356,0.3387221504590032,0.0006178898477281824,2
