dataset,K,n_cells,mean_ari,mean_sil,mean_runtime
paul15,19,2730,0.3291423783762367,0.1986555299825138,21.46309570471446
scvi_pbmc12k,9,11989,0.5948223724231743,0.28675157949328417,50.70615780353546
ts2_lung,34,65847,0.39491480836991005,0.2255465413133303,227.6279916961988
ts1_all_cells,177,483151,0.261604292874326,0.18380661308765409,2377.019353787104
aifi_immune_full,29,1821725,0.3078882036933481,0.10912569767485057,3339.197739402453
