dataset,model_type,loss_type,latent_dim,K,n_cells,n_genes,seed,batch_key,label_key,data_mode,git_commit,fit_formula_name,fit_score_r2,fit_rmse,best_val_loss,total_epochs,peak_cpu_mem_mb,peak_gpu_mem_mb,ari,ami,silhouette,reconstruction_loss,centrality_variance,status,runtime_seconds
pbmc3k,ae,mse,2,9,2700,2000,42,,,in_memory,unknown,,,,0.2570555790706917,21,1228.18359375,34.7802734375,-6.620914753772955e-05,0.0005025041574860948,-0.1860143542289734,0.262475633709519,0.0003615972278530766,success,15.471842050552368
pbmc3k,ae,mse,2,9,2700,2000,43,,,in_memory,unknown,,,,0.26891566272135137,50,1439.1640625,34.7802734375,0.0,0.0,0.0,0.2624565248136167,0.00016405659163688124,success,3.3852925300598145
pbmc3k,ae,mse,2,9,2700,2000,44,,,in_memory,unknown,,,,0.26187986863984003,31,1491.546875,34.7802734375,-0.0007997466358810184,-0.00011485588962206872,-0.11891698837280273,0.26240441154550626,,success,2.3423349857330322
pbmc3k,ae,mse,4,9,2700,2000,42,,,in_memory,unknown,,,,0.2570576164457533,26,1499.06640625,34.78515625,0.00016824740030115928,-0.0009240398822595745,-0.37499380111694336,0.2624362825464319,0.00034506669989820877,success,2.1624157428741455
pbmc3k,ae,mse,4,9,2700,2000,43,,,in_memory,unknown,,,,0.26898272699779935,24,1500.62109375,34.78515625,-0.00023527982333353427,0.0015762331840164798,-0.3402562737464905,0.26247263224036604,0.0003274682089766282,success,2.134899377822876
pbmc3k,ae,mse,4,9,2700,2000,44,,,in_memory,unknown,,,,0.2619620338634208,20,1508.2421875,34.78515625,-0.0007191132298247048,-0.0011281880250275267,-0.1444416642189026,0.26246485944147463,0.00034333743618335754,success,1.9818611145019531
pbmc3k,ae,mse,8,9,2700,2000,42,,,in_memory,unknown,,,,0.25698191854688857,44,1515.90234375,34.794921875,0.0,0.0,0.0,0.26238990006623447,0.00016405659163687983,success,3.2230172157287598
pbmc3k,ae,mse,8,9,2700,2000,43,,,in_memory,unknown,,,,0.2689426038000319,23,1529.89453125,34.794921875,0.0010255827130421127,0.00012884331906007156,-0.0963490679860115,0.2624154978328281,0.0003607627313696432,success,1.9360032081604004
pbmc3k,ae,mse,8,9,2700,2000,44,,,in_memory,unknown,,,,0.26191493780524644,25,1529.89453125,34.794921875,0.0007025569889529084,-0.00027667414706484075,-0.18726369738578796,0.26245889129462063,0.0003192397813129934,success,2.2430038452148438
pbmc3k,ae,mse,12,9,2700,2000,42,,,in_memory,unknown,,,,0.25705692657717955,32,1529.89453125,34.8046875,0.0017627986795037403,0.0013579675724090176,-0.07896482199430466,0.2624590328446141,,success,2.4988439083099365
pbmc3k,ae,mse,12,9,2700,2000,43,,,in_memory,unknown,,,,0.26899166791527357,31,1529.89453125,34.8046875,-0.00019020734940667145,0.002381166397608829,-0.07639436423778534,0.26250725401772396,,success,2.3501975536346436
pbmc3k,ae,mse,12,9,2700,2000,44,,,in_memory,unknown,,,,0.2618778517952672,22,1529.89453125,34.8046875,-0.0017693346346821968,-0.00211679125920021,-0.5183905959129333,0.2624717364046309,0.00035171008859841396,success,1.965538740158081
