fit_formula_name,loo_mae,loo_rmse,n
power,3.9145524120630326,4.571839992009078,5
sqrt,5.648286786789013,7.372916420730502,5
linear,10.40505897925701,16.76904581813669,5
logk,13.9054062551829,24.266960810340123,5
