model_loss,mean_ari_cv,mean_sil_cv,mean_recon_cv,n_configs
ae:mse,0.06367199739269931,0.04948830954637858,0.00708430514886281,18
ae:nb,0.1260618266789315,0.06363675301461519,0.010367925676156409,22
ae:zinb,0.19451722982122732,0.07914842662178823,0.014235478432471029,12
scvi:nb,0.06804402181810615,0.039887388172268654,0.007097751162441708,42
scvi:zinb,0.10554740468220729,0.047421877669343915,0.014201056505507742,12
vae:mse,0.5384885163737375,0.13942305730373758,0.004409071106743815,18
vae:nb,0.10370991040019409,0.0563504490375149,0.010692663760753706,18
vae:zinb,0.1266731120887932,0.05734780242415835,0.014347631556218363,12
