dataset,model_loss,latent_dim,n_seeds,ari_mean,ari_std,sil_mean,sil_std,recon_mean,recon_std,ari_cv,sil_cv,recon_cv
aifi_immune_full,scvi:nb,4,1,0.3415165431753761,,0.2349282950162887,,411.1045227050781,,,,
aifi_immune_full,scvi:nb,6,1,0.2827833219341319,,0.1755406260490417,,408.420654296875,,,,
aifi_immune_full,scvi:nb,8,2,0.3106636229031857,0.00041809520394880256,0.1422904953360557,0.0048495533669211666,405.8837585449219,0.39105801662172357,0.0013458131983450682,0.034082061176803805,0.0009634729362506447
aifi_immune_full,scvi:nb,10,1,0.3287619638927829,,0.1282230764627456,,402.9953002929688,,,,
aifi_immune_full,scvi:nb,12,1,0.3163534608231159,,0.1089364886283874,,401.7992858886719,,,,
aifi_immune_full,scvi:nb,16,2,0.3023051935951952,0.016960108401417415,0.08757403492927546,0.004206371385220625,397.2705993652344,0.5208352438573765,0.05610260346412711,0.04803217516033923,0.0013110339518946927
aifi_immune_full,scvi:nb,24,2,0.2981771962496147,0.004236231014395467,0.05769696272909635,0.0019133641894513438,392.2877655029297,0.04395680277334586,0.014207092519741744,0.03316230350694772,0.00011205244373856871
aifi_immune_full,scvi:nb,32,2,0.3014755644993896,0.028413437087086664,0.0433784499764442,4.684095376376296e-05,387.8069610595703,0.2638918709451382,0.09424789413453173,0.0010798208278349965,0.0006804722386213234
paul15,ae:mse,2,3,0.30364529821252356,0.007606508885039959,0.3674151698748271,0.015562671876809648,0.5465464586885567,0.004427462920408243,0.025050639446147816,0.042357183787788674,0.0081007988433993
paul15,ae:mse,4,3,0.33081209977392984,0.03221761639341278,0.24905430773893986,0.0034751380171206586,0.5358515059409416,0.004047642976442931,0.09738947401086488,0.013953334309572827,0.007553665393429049
paul15,ae:mse,6,3,0.34101891757463193,0.023753306413051723,0.21152973175048825,0.014476888323492188,0.5316795589577438,0.004620761827568489,0.06965392589357837,0.06843902369511123,0.008690877333382177
paul15,ae:mse,8,3,0.31664652562303375,0.024638937569813238,0.18532091379165647,0.005065735549472043,0.5291617482864232,0.004698227567317277,0.0778121203803947,0.02733493724926859,0.00887862280773597
paul15,ae:mse,10,3,0.3107753978459798,0.03079935809871289,0.20220400889714554,0.002678566769087691,0.530013182952145,0.004442722099196321,0.09910487867503928,0.013246852936779255,0.008382286030039097
paul15,ae:mse,12,3,0.33315682912423367,0.03872625849947251,0.19077274203300468,0.015115521626390667,0.5286068951253925,0.0036146019833672278,0.11624032621895182,0.07923313081999735,0.006837977364086022
paul15,ae:mse,16,3,0.30251163737479864,0.022316513237297567,0.1906198561191558,0.01504263742105431,0.5292649459780646,0.005007320138170133,0.07377075946882793,0.07891432575445452,0.009460895107868454
paul15,ae:mse,20,3,0.3245397078358439,0.0317855360464422,0.19074975947539008,0.015755249555585892,0.5292007385301648,0.005523156574503275,0.09794036069854264,0.08259643209468154,0.01043678924153363
