dataset,model_type,loss_type,latent_dim,K,n_cells,n_genes,seed,batch_key,label_key,data_mode,git_commit,fit_formula_name,fit_score_r2,fit_rmse,best_val_loss,total_epochs,peak_cpu_mem_mb,peak_gpu_mem_mb,ari,ami,silhouette,reconstruction_loss,centrality_variance,status,runtime_seconds
pbmc3k,ae,mse,4,9,2700,2000,42,,,in_memory,unknown,,,,0.2570576164457533,26,1221.08984375,34.78515625,0.00016824740030115928,-0.0009240398822595745,-0.37499380111694336,0.2624362825464319,0.00034506669989820563,success,31.481985092163086
pbmc3k,ae,mse,4,9,2700,2000,43,,,in_memory,unknown,,,,0.26898272699779935,24,1434.11328125,34.78515625,-0.00023527982333353427,0.0015762331840164798,-0.3402562737464905,0.26247263224036604,0.0003274682089766582,success,2.8845467567443848
pbmc3k,ae,mse,4,9,2700,2000,44,,,in_memory,unknown,,,,0.2619620338634208,20,1479.28515625,34.78515625,-0.0007191132298247048,-0.0011281880250275267,-0.1444416642189026,0.26246485944147463,0.0003433374361833523,success,2.4073431491851807
pbmc3k,ae,mse,8,9,2700,2000,42,,,in_memory,unknown,,,,0.25702628868597527,30,1486.02734375,34.794921875,0.0009840010698906818,0.00017175311701559366,-0.3981635272502899,0.2624255879720052,,success,2.938824415206909
pbmc3k,ae,mse,8,9,2700,2000,43,,,in_memory,unknown,,,,0.2689426038000319,23,1496.71484375,34.794921875,0.0010255827130421127,0.00012884331906007156,-0.0963490679860115,0.2624154978328281,0.0003607627313696485,success,2.177384853363037
pbmc3k,ae,mse,8,9,2700,2000,44,,,in_memory,unknown,,,,0.26191493780524644,25,1505.1875,34.794921875,0.0007025569889529084,-0.00027667414706484075,-0.18726369738578796,0.26245889129462063,0.000319239781312981,success,2.8819077014923096
pbmc3k,ae,mse,16,9,2700,2000,42,,,in_memory,unknown,,,,0.2570625960826874,30,1505.90234375,34.814453125,0.0,0.0,0.0,0.26245959595397667,0.00016405659163688005,success,3.5193846225738525
pbmc3k,ae,mse,16,9,2700,2000,43,,,in_memory,unknown,,,,0.2689385215441386,23,1519.73046875,34.814453125,-0.0010850282706842333,4.4351786827734026e-05,-0.31635618209838867,0.2624640923959238,0.00034078588441032923,success,2.317042112350464
pbmc3k,ae,mse,16,9,2700,2000,44,,,in_memory,unknown,,,,0.2619515132021021,24,1519.73046875,34.814453125,0.00033572256904168676,0.0010363781092794246,-0.21268011629581451,0.26244205549911215,0.0003291016361130174,success,2.7347054481506348
pbmc3k,ae,mse,24,9,2700,2000,42,,,in_memory,unknown,,,,0.2570598162986614,30,1519.73046875,34.833984375,0.0,0.0,0.0,0.26243981330483046,0.00016405659163688636,success,2.9152889251708984
