dataset,model_type,loss_type,K,recommended_d,selection_metric,selection_score,mean_ari,mean_silhouette_kmeans,report_scope
paul15,ae,mse,19,48,ari,0.34246253201526117,0.34246253201526117,0.18703965346018472,primary
paul15,ae,nb,19,24,ari,0.25749641143683405,0.25749641143683405,0.26092077791690826,primary
paul15,ae,zinb,19,16,ari,0.24922422699319893,0.24922422699319893,0.2727896571159363,primary
paul15,scvi,nb,19,2,ari,0.40404907182634875,0.40404907182634875,0.38846665620803833,primary
paul15,scvi,zinb,19,2,ari,0.4020591430463618,0.4020591430463618,0.39195353786150616,primary
paul15,vae,mse,19,64,ari,0.02197038508527401,0.02197038508527401,0.12658119201660156,primary
paul15,vae,nb,19,32,ari,0.33028429033780937,0.33028429033780937,0.2154732644557953,primary
paul15,vae,zinb,19,20,ari,0.3375201482650824,0.3375201482650824,0.20860996842384338,primary
