dataset,model_type,loss_type,K,recommended_d,selection_metric,selection_score,mean_ari,mean_silhouette_kmeans
paul15,ae,mse,19,48,ari,0.34246253201526117,0.34246253201526117,0.18703965346018472
paul15,ae,nb,19,24,ari,0.25749641143683405,0.25749641143683405,0.26092077791690826
paul15,ae,zinb,19,16,ari,0.24922422699319893,0.24922422699319893,0.2727896571159363
paul15,scvi,nb,19,2,ari,0.40404907182634875,0.40404907182634875,0.38846665620803833
paul15,scvi,zinb,19,2,ari,0.4020591430463618,0.4020591430463618,0.39195353786150616
paul15,vae,mse,19,32,ari,0.02050931233257167,0.02050931233257167,0.12303114930788676
paul15,vae,nb,19,24,ari,0.3251801506048817,0.3251801506048817,0.21316327154636383
paul15,vae,zinb,19,64,ari,0.33079842019613054,0.33079842019613054,0.23950298627217612
