dataset,model_type,loss_type,latent_dim,K,n_cells,n_genes,seed,batch_key,label_key,data_mode,git_commit,fit_formula_name,fit_score_r2,fit_rmse,best_val_loss,total_epochs,peak_cpu_mem_mb,peak_gpu_mem_mb,ari,ami,silhouette,reconstruction_loss,centrality_variance,status,runtime_seconds
pbmc3k,ae,mse,2,9,2700,2000,42,,,in_memory,unknown,,,,0.2887935397801576,2,913.6875,,-0.0009341318250306734,-0.0004940156032540273,-0.12679451704025269,0.29338801397217645,0.0003613210225479969,success,14.073383331298828
pbmc3k,ae,mse,2,9,2700,2000,43,,,in_memory,unknown,,,,0.30394285255008274,2,1108.31640625,,0.0005976426265829441,-0.0010207898013739156,-0.09549282491207123,0.29621892862849764,0.0003581803516079257,success,1.000087022781372
pbmc3k,ae,mse,2,9,2700,2000,44,,,in_memory,unknown,,,,0.29036425639081886,2,1165.23046875,,-0.0005059390337615104,-0.0007170628926576316,-0.0659143254160881,0.291256261754919,0.0003600451637958046,success,0.9181866645812988
pbmc3k,ae,mse,4,9,2700,2000,42,,,in_memory,unknown,,,,0.28665136849438705,2,1170.4921875,,0.0007361624911004697,0.00025851504392941134,-0.08178291469812393,0.2915603961326458,0.0003559737608028588,success,0.9080812931060791
pbmc3k,ae,mse,4,9,2700,2000,43,,,in_memory,unknown,,,,0.3026508684511538,2,1178.6171875,,-0.0014317025593466493,-0.0005071010416918422,-0.06742671877145767,0.29571982396973506,0.00033196412261354743,success,0.9185514450073242
pbmc3k,ae,mse,4,9,2700,2000,44,,,in_memory,unknown,,,,0.28845039584018567,2,1188.21484375,,0.0010244420885065306,-0.00044306623453083924,-0.13361875712871552,0.2890513004638531,0.00033719077430290555,success,0.9385230541229248
pbmc3k,ae,mse,8,9,2700,2000,42,,,in_memory,unknown,,,,0.28372109907644766,2,1195.8203125,,0.0034384176483861,0.0023114256531122698,-0.19213686883449554,0.28866007204409,0.0002751097788729218,success,4.105407238006592
pbmc3k,ae,mse,8,9,2700,2000,43,,,in_memory,unknown,,,,0.29358977498831573,2,1204.8125,,-0.0015739152995458419,-0.0009376148493232038,-0.21712806820869446,0.2866193653036047,0.00023294662637180118,success,1.2059752941131592
pbmc3k,ae,mse,8,9,2700,2000,44,,,in_memory,unknown,,,,0.294739051439144,2,1215.99609375,,-0.00020107221845114018,-0.0010643849887150894,-0.056261539459228516,0.29558761530452304,0.00032988104769421714,success,0.7630009651184082
pbmc3k,vae,mse,2,9,2700,2000,42,,,in_memory,unknown,,,,0.3080654890448959,2,1215.99609375,,-0.0005798751537363567,-0.00019730931395631565,-0.08080996572971344,0.2926955635900851,0.00036073137506301817,success,0.9304165840148926
pbmc3k,vae,mse,2,9,2700,2000,43,,,in_memory,unknown,,,,0.31414802538024056,2,1215.99609375,,0.0009663630317391377,-0.0002883597708176943,-0.17420175671577454,0.29763627065552606,0.0003629086358187264,success,0.7389147281646729
pbmc3k,vae,mse,2,9,2700,2000,44,,,in_memory,unknown,,,,0.2956615368525187,2,1215.99609375,,0.00039915432935127773,-9.292362102638604e-05,-0.09742068499326706,0.29400357127189636,0.0003612867526824808,success,0.779425859451294
pbmc3k,vae,mse,4,9,2700,2000,42,,,in_memory,unknown,,,,0.3036111215750376,2,1215.99609375,,0.0009152934015105386,-0.00029182783622597175,-0.07038455456495285,0.2902590949447067,0.00035506927343941674,success,0.8246617317199707
pbmc3k,vae,mse,4,9,2700,2000,43,,,in_memory,unknown,,,,0.32893102146961073,2,1215.99609375,,0.0005821179420326732,-0.0003961674496769881,-0.07616768032312393,0.29044723978749026,0.0003637844968275362,success,1.2855868339538574
pbmc3k,vae,mse,4,9,2700,2000,44,,,in_memory,unknown,,,,0.29042573968569435,2,1215.99609375,,-0.00010779190449410234,0.00028440573099756326,-0.07588046044111252,0.2872002758803191,0.00032216697650173427,success,2.32306170463562
pbmc3k,vae,mse,8,9,2700,2000,42,,,in_memory,unknown,,,,0.3215963222362377,2,1215.99609375,,-0.001187954254769055,0.0004873206587234356,-0.05345229431986809,0.2969910924522965,0.00033049666546097365,success,0.9892778396606445
pbmc3k,vae,mse,8,9,2700,2000,43,,,in_memory,unknown,,,,0.32605086476714523,2,1215.99609375,,0.00022037755462480223,-0.00014843676901895268,-0.06254958361387253,0.28902363123717134,0.0001916358153870283,success,0.9956872463226318
pbmc3k,vae,mse,8,9,2700,2000,44,,,in_memory,unknown,,,,0.29428311166939913,2,1215.99609375,,0.0008119269977448658,-0.000602913155256573,-0.07092659175395966,0.28719831541732505,0.00013743900730572107,success,0.8230268955230713
